,A01,A02,A03,B,C10-C12,C13-C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_C32,C33,D35,E36,E37-E39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_J60,J61,J62_J63,K64,K65,K66,L68,M69_M70,M71,M72,M73,M74_M75,N,O84,P85,Q,R_S,T,U
G47,370,3,14,31,3936,1437,123,215,96,228,715,836,199,200,167,597,374,371,1486,494,247,733,129,289,56,155,962,384,1808,746,538,235,98,312,36,994,108,139,418,210,245,36,110,166,193,77,81,170,91,682,194,75,980,560,0,0
H49,1178,33,38,559,7245,3957,953,1119,229,2007,1601,503,1600,1728,1918,1710,396,980,2185,1576,866,1191,251,4845,66,979,2660,783,7112,2639,7007,789,367,7556,585,1021,293,109,415,256,405,46,262,182,565,163,87,134,202,2690,1153,318,739,839,0,0
H50,75,1,5,23,370,164,55,48,12,108,123,32,96,84,109,102,30,62,135,69,44,74,27,269,7,46,300,51,547,123,618,43,40,517,63,101,21,8,55,36,4,1,16,30,42,16,9,5,19,205,56,17,96,55,0,0
H51,7,0,3,36,178,92,7,47,9,50,25,29,43,53,61,55,18,49,92,44,56,34,14,816,8,89,225,37,450,141,1138,38,59,844,343,61,59,31,58,58,399,32,7,22,58,27,8,6,13,290,308,41,78,170,0,0
H52,121,4,4,129,1622,1527,158,220,77,980,277,174,595,460,509,641,112,293,731,214,387,421,203,714,23,148,2614,914,7827,2174,12288,687,1003,14861,114,467,157,43,1042,441,93,14,105,242,242,65,65,41,147,2711,205,54,119,317,0,0
H53,12,2,0,14,151,81,16,20,27,101,22,12,39,44,47,57,16,24,54,18,31,38,23,420,119,400,812,88,268,333,166,12,13,218,54,335,51,11,489,94,580,39,67,124,131,39,37,4,85,557,379,185,288,490,0,0
I,62,0,4,56,311,434,128,33,31,303,66,75,329,288,266,667,254,345,664,68,208,231,387,1276,65,40,3828,440,1960,866,561,34,84,344,7,838,77,81,798,472,59,18,210,506,526,154,90,6,322,2444,417,406,1689,758,0,0
J58,2,1,0,7,177,112,14,51,66,32,17,37,52,38,41,94,26,38,71,15,68,88,33,73,22,103,319,118,376,319,55,4,26,56,4,147,233,26,377,198,50,9,24,73,112,32,50,85,66,490,112,52,90,203,0,0
J59_J60,4,0,0,13,370,169,27,45,73,60,22,62,98,60,38,90,34,75,55,12,46,94,37,86,7,26,365,102,277,407,39,8,18,54,5,108,130,3172,2419,98,37,5,29,122,158,46,12,1289,103,421,39,18,30,501,0,0
J61,6,4,14,49,146,204,51,24,28,339,34,50,139,160,167,309,388,156,220,83,301,144,174,1887,209,1017,1279,423,997,969,475,16,80,443,28,691,201,46,4092,798,617,64,202,341,496,163,100,17,344,1756,904,357,716,1025,0,0
