""	"SYM"	"MKCapRate.real"	"acumul.real"	"ClaseMKCap.real"
"357"	"RADS"	8.14442630126703e-06	0.999064392395496	"BC"
"358"	"CAT*"	8.13215414138095e-06	0.999072524549637	"BC"
"359"	"TRIG"	8.12154537666015e-06	0.999080646095014	"BC"
"360"	"IOC"	8.0758944204574e-06	0.999088721989434	"BC"
"361"	"XST"	8.01845184074964e-06	0.999096740441275	"BC"
"362"	"MUE"	7.7167119577674e-06	0.999104457153233	"BC"
"363"	"ZEIT"	7.59155071266415e-06	0.999112048703945	"BC"
"364"	"ADL"	7.40026026865666e-06	0.999119448964214	"BC"
"365"	"XRL"	7.39286740125541e-06	0.999126841831615	"BC"
"366"	"MER"	7.32060212240814e-06	0.999134162433738	"BC"
"367"	"RISE"	7.27018276673157e-06	0.999141432616504	"BC"
"368"	"IFT"	7.07586124708958e-06	0.999148508477751	"BC"
"369"	"TAAS"	7.07212784905194e-06	0.999155580605601	"BC"
"370"	"1ST"	7.00814258169408e-06	0.999162588748182	"BC"
"371"	"PND"	6.97210235311296e-06	0.999169560850535	"BC"
"372"	"PURA"	6.96637288087698e-06	0.999176527223416	"BC"
"373"	"XNN"	6.95650340289631e-06	0.999183483726819	"BC"
"374"	"HMQ"	6.91613834688545e-06	0.999190399865166	"BC"
"375"	"XCXT"	6.90904119418025e-06	0.99919730890636	"BC"
"376"	"INCNT"	6.81382106205208e-06	0.999204122727422	"BC"
"377"	"MOON"	6.76898332126346e-06	0.999210891710743	"BC"
"378"	"XCRE"	6.65358066112987e-06	0.999217545291405	"BC"
"379"	"UQC"	6.64352636146416e-06	0.999224188817766	"BC"
"380"	"EBC"	6.57643608979777e-06	0.999230765253856	"BC"
"381"	"TUBE"	6.54531211803848e-06	0.999237310565974	"BC"
"382"	"AIR"	6.47877631142718e-06	0.999243789342285	"BC"
"383"	"BET*"	6.45157055939056e-06	0.999250240912845	"BC"
"384"	"SWARM"	6.38795493540276e-06	0.99925662886778	"BC"
"385"	"GRC"	6.38388885833207e-06	0.999263012756638	"BC"
"386"	"OPT"	6.37032294665077e-06	0.999269383079585	"BC"
"387"	"XPD"	6.28323496866398e-06	0.999275666314554	"BC"
"388"	"DAT"	6.2786513908752e-06	0.999281944965945	"BC"
"389"	"TFL"	6.2221329195926e-06	0.999288167098864	"BC"
"390"	"EBST"	6.19570341863311e-06	0.999294362802283	"BC"
"391"	"NLC2"	6.15981104740002e-06	0.99930052261333	"BC"
"392"	"DICE"	6.05804822762174e-06	0.999306580661558	"BC"
"393"	"SKIN"	6.05047053853545e-06	0.999312631132096	"BC"
"394"	"GUP"	6.04962035878431e-06	0.999318680752455	"BC"
"395"	"HTML5"	6.00722226423811e-06	0.999324687974719	"BC"
"396"	"AMP"	5.98411955360918e-06	0.999330672094273	"BC"
"397"	"AVT"	5.88087816035065e-06	0.999336552972433	"BC"
"398"	"ESP"	5.82631879892939e-06	0.999342379291232	"BC"
"399"	"QORA"	5.7875062450728e-06	0.999348166797477	"BC"
"400"	"MYST"	5.73069205909415e-06	0.999353897489537	"BC"
"401"	"GAM"	5.64778105118907e-06	0.999359545270588	"BC"
"402"	"STAR"	5.64471301121755e-06	0.999365189983599	"BC"
"403"	"EKO"	5.64231032931214e-06	0.999370832293928	"BC"
"404"	"CRAVE"	5.6232367314169e-06	0.99937645553066	"BC"
"405"	"CURE"	5.59688115913143e-06	0.999382052411819	"BC"
"406"	"DVC"	5.59407186951895e-06	0.999387646483688	"BC"
"407"	"HVN"	5.46735812226143e-06	0.999393113841811	"BC"
"408"	"MINT"	5.44100254997596e-06	0.99939855484436	"BC"
"409"	"HDG"	5.39143337405054e-06	0.999403946277735	"BC"
"410"	"KR"	5.36777619836652e-06	0.999409314053933	"BC"
"411"	"PTOY"	5.33972026657876e-06	0.999414653774199	"BC"
"412"	"SNOV"	5.33195775580744e-06	0.999419985731955	"BC"
