""	"SYM"	"MKCapRate"	"acumul"	"ClaseMKCaProxy"
"955"	"CRAFT"	0	1	"BC"
"956"	"CRAIG"	0	1	"BC"
"957"	"CRAVE"	0	1	"BC"
"958"	"CRE"	0	1	"BC"
"959"	"CREVA"	0	1	"BC"
"960"	"CRM"	0	1	"BC"
"961"	"CRPS"	0	1	"BC"
"962"	"CRTM"	0	1	"BC"
"963"	"CRX"	0	1	"BC"
"964"	"CRYPT"	0	1	"BC"
"965"	"CS"	0	1	"BC"
"966"	"CSC"	0	1	"BC"
"967"	"CSH"	0	1	"BC"
"968"	"CSMIC"	0	1	"BC"
"969"	"CST"	0	1	"BC"
"970"	"CTC"	0	1	"BC"
"971"	"CTIC"	0	1	"BC"
"972"	"CTO"	0	1	"BC"
"973"	"CTR"	0	1	"BC"
"974"	"CTT"	0	1	"BC"
"975"	"CUBE"	0	1	"BC"
"976"	"CXC"	0	1	"BC"
"977"	"CXT"	0	1	"BC"
"978"	"CYC"	0	1	"BC"
"979"	"CYG"	0	1	"BC"
"980"	"CYP"	0	1	"BC"
"981"	"CZC"	0	1	"BC"
"982"	"DANK"	0	1	"BC"
"983"	"DAS"	0	1	"BC"
"984"	"DB"	0	1	"BC"
"985"	"DBIC"	0	1	"BC"
"986"	"DBTC"	0	1	"BC"
"987"	"DCC"	0	1	"BC"
"988"	"DCK"	0	1	"BC"
"989"	"DCRE"	0	1	"BC"
"990"	"DDF"	0	1	"BC"
"991"	"DEEP"	0	1	"BC"
"992"	"DEM"	0	1	"BC"
"993"	"DES"	0	1	"BC"
"994"	"DETH"	0	1	"BC"
"995"	"DEUR"	0	1	"BC"
"996"	"DFS"	0	1	"BC"
"997"	"DGDC"	0	1	"BC"
"998"	"DGMS"	0	1	"BC"
"999"	"DGORE"	0	1	"BC"
"1000"	"DIEM"	0	1	"BC"
"1001"	"DIGS"	0	1	"BC"
"1002"	"DKC"	0	1	"BC"
"1003"	"DLC"	0	1	"BC"
"1004"	"DLISK"	0	1	"BC"
"1005"	"DNET"	0	1	"BC"
"1006"	"DOC"	0	1	"BC"
"1007"	"DOGED"	0	1	"BC"
"1008"	"DOT"	0	1	"BC"
"1009"	"DPAY"	0	1	"BC"
"1010"	"DRACO"	0	1	"BC"
"1011"	"DRKC"	0	1	"BC"
"1012"	"DRKT"	0	1	"BC"
"1013"	"DRM8"	0	1	"BC"
"1014"	"DRP"	0	1	"BC"
"1015"	"DRZ"	0	1	"BC"
"1016"	"DSB"	0	1	"BC"
"1017"	"DT"	0	1	"BC"
"1018"	"DTC"	0	1	"BC"
"1019"	"DTC*"	0	1	"BC"
"1020"	"DUB"	0	1	"BC"
"1021"	"DUCK"	0	1	"BC"
"1022"	"DUO"	0	1	"BC"
"1023"	"DVC"	0	1	"BC"
"1024"	"DXC"	0	1	"BC"
"1025"	"EAC"	0	1	"BC"
"1026"	"EAGS"	0	1	"BC"
"1027"	"EB3"	0	1	"BC"
"1028"	"EBC"	0	1	"BC"
"1029"	"EBIT"	0	1	"BC"
"1030"	"EBS"	0	1	"BC"
"1031"	"EC"	0	1	"BC"
"1032"	"ECA"	0	1	"BC"
"1033"	"ECOB"	0	1	"BC"
"1034"	"EDC"	0	1	"BC"
"1035"	"EDGE"	0	1	"BC"
"1036"	"EGAS"	0	1	"BC"
"1037"	"EGG"	0	1	"BC"
"1038"	"EGO"	0	1	"BC"
"1039"	"EKN"	0	1	"BC"
"1040"	"ELC"	0	1	"BC"
"1041"	"ELE"	0	1	"BC"
"1042"	"ELM"	0	1	"BC"
"1043"	"ELS"	0	1	"BC"
"1044"	"ELTC2"	0	1	"BC"
"1045"	"ELTCOIN"	0	1	"BC"
"1046"	"EMPC"	0	1	"BC"
"1047"	"EMV"	0	1	"BC"
"1048"	"ENE"	0	1	"BC"
"1049"	"ENTER"	0	1	"BC"
"1050"	"ENTRC"	0	1	"BC"
"1051"	"EOC"	0	1	"BC"
"1052"	"EPY"	0	1	"BC"
"1053"	"EQ"	0	1	"BC"
"1054"	"EQM"	0	1	"BC"
"1055"	"EQT"	0	1	"BC"
"1056"	"EQUAL"	0	1	"BC"
"1057"	"EREAL"	0	1	"BC"
"1058"	"ERR"	0	1	"BC"
"1059"	"ERY"	0	1	"BC"
"1060"	"EST"	0	1	"BC"
"1061"	"ETBT"	0	1	"BC"
"1062"	"ETG"	0	1	"BC"
"1063"	"ETHB"	0	1	"BC"
"1064"	"ETHS"	0	1	"BC"
"1065"	"ETL"	0	1	"BC"
"1066"	"EUC"	0	1	"BC"
"1067"	"EVENT"	0	1	"BC"
"1068"	"EVIL"	0	1	"BC"
"1069"	"EVR"	0	1	"BC"
"1070"	"EXC"	0	1	"BC"
"1071"	"EXE"	0	1	"BC"
