5.63 5.69 NA NA NA 5.59 6.16 6.09 5.83 5.52 6.88 9.43 NA NA 6.1 6.36 NA 5.6 NA NA 5.55 NA 6.13 NA 6.38 NA NA
5.62 5.69 NA NA NA 5.58 6.07 5.97 5.75 5.59 6.57 9.3 NA NA 5.99 6.2 NA 5.6 NA NA 5.57 NA 5.98 NA 6.22 NA NA
5.63 5.68 NA NA NA 5.56 6.06 5.96 5.79 5.57 6.7 10.76 NA NA 5.98 6.13 NA 5.61 NA NA 5.54 NA 5.96 NA 6.3 NA NA
5.4 5.45 NA NA NA 5.33 5.74 5.64 5.58 5.32 6.43 10.48 NA NA 5.61 5.74 NA 5.43 NA NA 5.29 NA 5.67 NA 6.03 NA NA
5.19 5.22 NA NA NA 5.11 5.42 5.4 5.3 5.11 6.16 11.03 NA NA 5.35 5.43 NA 5.21 NA NA 5.07 NA 5.41 NA 5.65 NA NA
5.07 5.11 NA NA NA 4.99 5.32 5.24 5.16 5.03 6.1 11.04 NA NA 5.23 5.38 NA 5.08 NA NA 5.01 NA 5.32 NA 5.53 NA NA
4.97 5.03 NA NA NA 4.9 5.17 5.09 5.04 4.95 6.05 9.27 NA NA 5.08 5.2 NA 5 NA NA 4.94 NA 5.25 NA 5.35 NA NA
4.97 5.03 NA NA NA 4.9 5.13 5.06 5.01 4.96 5.88 8.11 NA NA 5.05 5.15 NA 4.99 NA NA 4.95 NA 5.17 NA 5.21 NA NA
5.03 5.09 NA NA NA 4.96 5.24 5.13 5.08 5.01 5.92 7.85 NA NA 5.14 5.21 NA 5.06 NA NA 5 NA 5.18 NA 5.2 NA NA
4.89 4.96 NA NA NA 4.8 4.99 5.02 4.95 4.86 5.87 7.74 NA NA 5.03 5.08 NA 4.94 NA NA 4.85 NA 5.06 NA 4.97 NA NA
4.83 4.88 NA NA NA 4.68 4.91 4.94 4.86 4.78 5.92 7.67 NA NA 4.93 4.97 NA 4.84 NA NA 4.76 NA 4.95 NA 4.88 NA NA
4.62 4.66 NA NA NA 4.42 4.81 4.74 4.68 4.52 5.63 7.56 NA NA 4.68 4.79 NA 4.56 NA NA 4.53 NA 4.76 NA 4.8 NA NA
4.31 4.34 NA NA NA 4.06 4.74 4.47 4.45 4.2 5.16 8.25 NA NA 4.38 4.53 NA 4.36 NA NA 4.19 NA 4.46 NA 4.79 NA NA
4.3 4.28 NA NA NA 4.06 4.67 4.43 4.45 4.17 4.99 8.45 NA NA 4.35 4.49 NA 4.3 NA NA 4.14 NA 4.43 NA 4.72 NA NA
4.33 4.33 NA NA NA 4.12 4.59 4.41 4.41 4.18 4.93 7.65 NA NA 4.32 4.38 NA 4.28 NA NA 4.18 NA 4.42 NA 4.55 NA NA
4.05 4.09 NA NA NA 3.86 4.27 4.07 4.06 3.91 4.54 7.17 NA NA 4.02 4 NA 4.09 NA NA 3.95 NA 4.12 NA 4.22 NA NA
3.84 3.9 NA NA NA 3.7 4.04 3.88 3.91 3.77 4.2 6.32 NA NA 3.89 3.92 NA 3.9 NA NA 3.8 NA 3.9 NA 4.02 NA NA
3.98 4.04 NA NA NA 3.85 4.19 4.02 4.04 3.93 4.37 5.96 NA NA 4.02 4.05 NA 3.93 NA NA 3.93 NA 4.02 NA 4.18 NA NA
4.16 4.26 NA NA NA 4.04 4.43 4.25 4.26 4.13 4.6 5.97 NA NA 4.19 4.27 NA 4.17 NA NA 4.14 NA 4.24 NA 4.44 NA NA
4.03 4.11 NA NA NA 3.85 4.22 4.08 4.07 3.98 4.54 5.85 NA NA 3.95 4.11 NA 4.01 NA NA 4 NA 4.13 NA 4.24 NA NA
4.21 4.29 NA NA NA 4.01 4.46 4.28 4.24 4.16 4.83 5.75 NA NA 4.18 4.28 NA 4.16 NA NA 4.19 NA 4.32 NA 4.5 NA NA
4.54 4.64 NA NA NA 4.36 4.81 4.61 4.58 4.47 5.09 6.02 NA NA 4.59 4.62 NA 4.37 NA NA 4.51 NA 4.66 NA 4.87 NA NA
4.87 4.94 NA NA NA 4.68 5.12 4.91 4.92 4.81 5.27 6.37 NA NA 4.94 4.94 NA 4.87 NA NA 4.82 NA 4.99 NA 5.26 NA NA
5.1 5.18 NA NA NA 4.88 5.38 5.17 5.15 5.01 5.31 6.66 NA NA 5.16 5.13 NA 5.18 NA NA 5.03 NA 5.22 NA 5.49 NA NA
5.27 5.34 NA NA NA 5.04 5.55 5.32 5.32 5.19 5.6 6.64 NA NA 5.34 5.28 NA 5.31 NA NA 5.21 NA 5.41 NA 5.69 NA NA
5.53 5.58 NA NA NA 5.29 5.76 5.56 5.56 5.43 5.78 7.03 NA NA 5.57 5.52 NA 5.54 NA NA 5.45 NA 5.62 NA 5.92 NA NA
5.27 5.3 NA NA NA 5.04 5.45 5.28 5.27 5.15 5.23 6.61 NA NA 5.31 5.25 NA 5.27 NA NA 5.18 NA 5.36 NA 5.56 NA NA
5.35 5.41 NA NA NA 5.15 5.5 5.37 5.37 5.27 5.36 6.39 NA NA 5.39 5.36 NA 5.26 NA NA 5.28 NA 5.46 NA 5.59 NA NA
5.75 5.79 NA NA NA 5.54 5.87 5.76 5.75 5.66 5.83 6.6 NA NA 5.8 5.75 NA 5.64 NA NA 5.67 NA 5.81 NA 5.95 NA NA
5.77 5.79 NA NA NA 5.51 5.85 5.73 5.72 5.62 5.63 6.48 NA NA 5.76 5.73 NA 5.71 NA NA 5.66 NA 5.78 NA 5.9 NA NA
5.59 5.62 NA NA NA 5.33 5.65 5.55 5.5 5.43 5.34 6.24 NA NA 5.58 5.58 NA 5.56 NA NA 5.48 NA 5.61 NA 5.51 NA NA
5.49 5.52 NA NA NA 5.22 5.57 5.45 5.46 5.33 5.3 6.09 NA NA 5.46 5.47 NA 5.42 NA NA 5.38 NA 5.52 NA 5.42 NA NA
5.66 5.69 NA NA NA 5.38 5.77 5.63 5.59 5.5 5.41 6.18 NA NA 5.61 5.67 NA 5.6 NA NA 5.5 NA 5.68 NA 5.34 NA NA
5.51 5.53 NA NA NA 5.19 5.67 5.45 5.39 5.32 5.21 6.06 NA NA 5.43 5.51 NA 5.38 NA NA 5.31 NA 5.54 NA 5.13 NA NA
5.6 5.6 NA NA NA 5.27 5.76 5.53 5.48 5.4 5.24 6.08 NA NA 5.52 5.59 NA 5.57 NA NA 5.4 NA 5.61 NA 5.31 NA NA
5.54 5.56 NA NA NA 5.21 5.64 5.5 5.43 5.36 5.32 6.04 NA NA 5.47 5.56 NA 5.49 NA NA 5.36 NA 5.57 NA 5.31 NA NA
5.57 5.63 NA NA NA 5.26 5.66 5.56 5.49 5.42 5.38 6.05 NA NA 5.52 5.63 NA 5.57 NA NA 5.41 NA 5.63 NA 5.26 NA NA
5.52 5.58 NA NA NA 5.21 5.57 5.5 5.45 5.36 5.2 5.97 NA NA 5.46 5.58 NA 5.51 NA NA 5.35 NA 5.58 NA 5.23 NA NA
5.46 5.52 NA NA NA 5.15 5.49 5.45 5.4 5.29 5.11 5.87 NA NA 5.4 5.55 NA 5.57 NA NA 5.3 NA 5.53 NA 5.13 NA NA
5.21 5.28 NA NA NA 4.89 5.2 5.2 5.14 5.04 4.95 5.54 NA NA 5.14 5.3 NA 5.21 NA NA 5.03 NA 5.28 NA 4.92 NA NA
5.1 5.16 NA 7.68 6.82 4.8 5.09 5.08 5.02 4.94 4.94 5.35 NA 8.05 5.03 5.18 9.31 5.06 7.64 6.11 4.93 10.43 5.16 NA 4.89 NA 8.25
5.1 5.16 NA 7.68 6.5 4.78 5.06 5.12 5.02 4.93 4.95 5.35 NA 8.34 5.01 5.18 9.77 5.08 7.82 6.11 4.92 10.23 5.14 NA 4.86 NA 8.17
5.01 5.08 NA 7.66 6.24 4.67 4.95 5.04 4.94 4.84 4.82 5.28 NA 8.57 4.92 5.13 8.64 4.93 7.9 6.11 4.83 10.62 5.09 NA 4.75 NA 8.09
5.16 5.21 NA 7.63 6.25 4.83 5.14 5.18 5.1 5 5.03 5.39 NA 8.61 5.09 5.28 8.5 5.05 7.9 6.11 5.02 10.61 5.26 NA 4.93 NA 8
5.34 5.38 NA 7.71 6.49 5.05 5.35 5.36 5.29 5.21 5.21 5.54 NA 8.07 5.28 5.45 8.46 5.3 7.54 6.11 5.22 11.26 5.42 NA 5.27 NA 8.02
5.27 5.33 NA 7.7 6.72 5 5.33 5.33 5.26 5.15 5.3 5.48 NA 7.8 5.23 5.4 8.46 5.14 7.6 6.14 5.17 11.66 5.38 NA 5.38 NA 8.05
5.29 5.35 NA 7.69 6.85 5.02 5.32 5.35 5.27 5.15 5.3 5.51 NA 7.77 5.23 5.42 8.46 5.05 7.75 6.17 5.17 11.79 5.39 NA 5.42 NA 8.04
5.1 5.15 NA 7.55 6.76 4.82 5.12 5.16 5.06 4.95 5.07 5.33 NA 7.76 5.01 5.21 8.01 4.81 7.66 6.29 4.98 11.86 5.19 NA 5.16 NA 7.99
5.08 5.14 NA 7.55 6.47 4.81 5.11 5.14 5.06 4.94 5.02 5.31 NA 7.94 5.01 5.2 7.99 4.67 7.58 6.3 4.98 11.49 5.17 NA 5.26 NA 8.1
4.85 4.89 NA 7.55 5.84 4.6 4.86 4.91 4.83 4.72 4.86 5.07 NA 7.98 4.77 4.96 7.62 4.41 7.48 6.3 4.76 10.31 4.92 NA 5.17 NA 8.08
4.7 4.75 NA 7.55 5.4 4.45 4.67 4.76 4.69 4.57 4.67 4.9 NA 7.38 4.63 4.8 6.28 4.29 7.08 6.27 4.62 9.04 4.76 NA 4.96 NA 7.97
4.95 4.97 NA 7.55 5.43 4.74 4.97 4.97 4.98 4.87 4.94 5.13 NA 7.07 4.93 5.05 6.34 4.51 6.93 6.24 4.89 8.88 5.01 NA 5.24 NA 7.75
5.06 5.08 NA 7.55 5.32 4.86 5.08 5.05 5.05 4.93 5.02 5.24 NA 6.77 5.02 5.14 6.47 4.84 6.35 6.18 4.97 8.26 5.08 NA 5.27 NA 7.41
5.12 5.15 NA 7.11 5.31 4.92 5.14 5.11 5.1 4.99 5.04 5.31 NA 6.82 5.2 5.2 6.43 4.91 5.98 6.12 5.03 8.33 5.15 NA 5.36 NA 7.32
5.36 5.37 NA 5.37 5.55 5.16 5.4 5.34 5.33 5.24 5.34 5.5 NA 6.94 5.42 5.41 5.92 5.16 5.8 6.04 5.27 8.33 5.39 NA 5.63 9.62 7.37
5.35 5.37 NA 5.37 5.42 5.15 5.4 5.33 5.32 5.24 5.33 5.51 NA 6.82 5.41 5.4 6.15 5.19 5.78 5.88 5.25 8.21 5.39 NA 5.69 9.52 7.47
5.37 5.38 NA 5.37 5.3 5.17 5.42 5.36 5.4 5.26 5.35 5.52 NA 7.11 5.41 5.41 6.15 5.15 5.59 5.85 5.31 8.02 5.4 NA 5.69 9.22 7.68
5.22 5.24 NA 5.37 5.13 5.02 5.27 5.23 5.26 5.11 5.19 5.37 NA 7.56 5.25 5.25 6.1 5.09 5.38 5.83 5.16 7.55 5.26 NA 5.52 9.19 7.83
