""	"SYM"	"TradDays"	"nonTradDays"	"AlphaP"	"Sd.P"	"AlphaN"	"Sd.N"
"311"	"CLUD"	93	273	8.43760550358099	0.4132003057545	5.55606545398144	0.703016162195895
"312"	"CLV"	NA	366	NA	NA	NA	NA
"313"	"CMC"	7	359	NA	NA	NA	NA
"314"	"CMP"	100	266	1.99213128082923	0.0723586104214754	6.37874516955322	0.403153995161356
"315"	"CMPCO"	365	1	4.4033090209097	0.25508879586173	3.76032248133558	0.201317207635731
"316"	"CMS"	264	102	2.74183799819645	0.111509751318817	2.22399316133507	0.110815134012411
"317"	"CMT"	366	NA	1.98657897874181	0.0745783607564256	2.13358858589153	0.0820235913600457
"318"	"CMTC"	177	189	4.10518106397599	0.180484983279615	2.67905594573414	0.200685570301446
"319"	"CNBC"	NA	366	17.3005120684316	1.15262026204012	3.35104679751393	0.182476620785063
"320"	"CNC"	NA	366	17.7296116608707	1.18296218520192	3.39707159574765	0.186048837919526
"321"	"CND"	366	NA	3.06597207790183	0.156172809535189	4.9377391500446	0.284924805123804
"322"	"CNL"	NA	366	3.21417420689004	0.15656575964203	3.3791700177916	0.184659406005369
"323"	"CNMT"	NA	366	1.91449033192719	0.0638707753006325	3.42488641013441	0.191107821377471
"324"	"CNO"	329	37	3.27481257127196	0.16374459188027	4.98229407350159	0.302768211843904
"325"	"CNT"	337	29	2.70837340134696	0.12768982316907	2.07942734450831	0.0789355450887706
"326"	"CNX"	147	219	3.26147380578453	0.129279852676297	2.90763092938221	0.246274094006916
"327"	"COAL"	297	69	3.07541179379947	0.150963994337939	3.81219526921519	0.211377540407395
"328"	"COB"	219	147	2.94446004791507	0.139965296919083	1.83850069958468	0.0637500276869034
"329"	"COC"	4	362	NA	NA	NA	NA
"330"	"COE"	NA	366	NA	NA	NA	NA
"331"	"COIN"	85	281	1.70959884550751	0.123525303694817	2.33537079944672	0.0731778690353952
"332"	"COLX"	320	46	2.60980861796074	0.126089942249842	3.69550592496347	0.189187427480828
"333"	"COMM"	NA	366	17.1158846722601	1.13956513365755	3.43801517944533	0.189226676320651
"334"	"COMP"	182	184	7.3618446042632	0.370400913206734	4.76453174077224	0.446767722163708
"335"	"CON"	54	312	4.14324954341888	0.16898214233561	2.41290085753815	0.315934236292305
"336"	"COOL"	NA	366	3.21148224185776	0.156375408969125	3.38080565196209	0.184786355837499
"337"	"COR"	308	58	3.90519245290089	0.20912032865543	3.07334198356791	0.157633272008409
"338"	"CORAL"	81	285	2.43800794557202	0.077872496199273	3.17942181267525	0.435884362535051
"339"	"CORE"	7	359	3.22002347233239	0.144511219107411	2.86222521959483	0.163327956260144
"340"	"COV"	366	NA	3.27069164237598	0.170675635381112	3.24037977886341	0.162963649556984
"341"	"COVAL"	366	NA	3.12351850825582	0.157839887663407	4.18877351976221	0.234443291827472
"342"	"COX"	185	181	3.4674265741122	0.147194328891354	5.74684655660282	0.514867798359381
"343"	"CPAY"	354	12	3.98254071120519	0.219280754186812	3.89427591876634	0.215129834804316
"344"	"CPC"	328	38	2.0902227104061	0.0808126839096932	2.06033947768412	0.0781692633890041
"345"	"CPN"	298	68	2.88760108071802	0.136940975374291	3.51157187782445	0.189316853471637
"346"	"CQST"	306	60	2.84244702108431	0.138097242759871	2.98880664660467	0.145048632298973
"347"	"CRAB"	61	305	2.00809441849076	0.0543528083983833	2.3480326117535	0.287401518496571
"348"	"CRACK"	NA	366	3.17965914668391	0.154125176329548	3.4056347422593	0.186713466986197
"349"	"CRAFT"	71	295	2.38361900300092	0.0920369670215115	2.10122831496549	0.0930707795820596
"350"	"CRAIG"	NA	366	17.7092911026097	1.18152530474754	3.28835007640049	0.177610411479837
"351"	"CRAVE"	4	362	NA	NA	NA	NA
"352"	"CRB"	323	43	3.55265859111342	0.182332756508101	2.41039155175561	0.108172094076267
"353"	"CRE"	3	363	NA	NA	NA	NA
"354"	"CREA"	365	1	3.78525194170843	0.204775795375921	3.73449718459518	0.203253575023896
"355"	"CRED"	218	148	1.67028865796391	0.0457133070542649	1.82236356487914	0.0669229978012556
"356"	"CREDO"	217	149	4.53258697332733	0.267038474746585	1.7929283689528	0.0573742831590186
"357"	"CREVA"	176	190	1.88297704615626	0.0625925832473951	3.39365698516923	0.185226738584157
"358"	"CRM"	8	358	NA	NA	NA	NA
"359"	"CRPS"	137	229	1.85655021426028	0.0605672464930236	1.93252825592266	0.0723782296070383
"360"	"CRTM"	66	300	1.8692236746992	0.0590067479019242	1.71377912679659	0.0584750644871978
"361"	"CRW"	366	NA	3.5985420912163	0.192089758729787	3.94095795381463	0.217401867644281
"362"	"CRX"	127	239	3.72708488571697	0.154390779313008	5.10958971769252	0.559244325585281
"363"	"CRYPT"	41	325	4.31576289906388	0.22405849288077	2.65165772178667	0.136226432897523
"364"	"CS"	120	246	3.50736278968927	0.140605923266429	3.20038848685962	0.317598721302539
"365"	"CSC"	106	260	2.50770328356625	0.0944160419918026	2.75322685449031	0.166408928730748
"366"	"CSH"	NA	366	NA	NA	NA	NA
"367"	"CSMIC"	1	365	NA	NA	NA	NA
"368"	"CSNO"	354	12	3.45359182179302	0.180391658403201	6.55870421540195	0.413175230402771
"369"	"CST"	164	202	1.84702895732683	0.0617759358294742	2.11180163133059	0.0833330554559568
"370"	"CTC"	NA	366	NA	NA	NA	NA
"371"	"CTIC"	2	364	NA	NA	NA	NA
"372"	"CTO"	16	350	NA	NA	NA	NA
"373"	"CTR"	153	213	4.98413725363406	0.230794874320757	2.96082067636628	0.23778443416333
"374"	"CTT"	44	322	2.35492579632779	0.0924051723498075	2.17236185427936	0.0954054546516095
"375"	"CTX"	351	15	2.20486367288448	0.0881083578812951	2.33357122117298	0.0996757929388737
"376"	"CUBE"	5	361	NA	NA	NA	NA
"377"	"CURE"	366	NA	5.66593472182647	0.345862092413918	2.39564099234894	0.102888019000945
"378"	"CVC"	366	NA	3.37561689983494	0.171445382076391	5.55301842169822	0.345163435786813
"379"	"CWV"	211	155	2.09153789703454	0.0832289843808129	5.1499461047558	0.297948766373333
"380"	"CWXT"	214	152	1.66035049632102	0.0461208792457077	3.35605743287464	0.185683338054548
"381"	"CXC"	NA	366	3.1982101203499	0.154665524347947	3.34307731007333	0.182963598954994
"382"	"CXT"	73	293	1.91941101780127	0.0689127693053987	2.01091670627396	0.0737286783828651
"383"	"CYC"	65	301	4.71444526848817	0.199979010873961	6.29665252418741	1.15582433914132
"384"	"CYG"	98	268	1.73748686498004	0.0399958408138413	2.67373928625625	0.328247280049518
"385"	"CYP"	4	362	NA	NA	NA	NA
"386"	"CZC"	NA	366	3.18555869863566	0.154542337648652	3.38286854296396	0.184946467231056
"387"	"DAI"	274	92	1.87142764634832	0.0518927611761301	1.70272825476584	0.0766739385821118
"388"	"DANK"	NA	366	3.22165459031075	0.156703432522782	3.37146524146811	0.184618318659867
"389"	"DARK"	244	122	3.58964360250033	0.182206688044574	7.01473942203362	0.469672241159345
"390"	"DAS"	15	351	NA	NA	NA	NA
"391"	"DASH"	366	NA	3.355428521205	0.172245992455976	2.3558950603555	0.10134435501987
"392"	"DAT"	366	NA	3.95991205375693	0.222480613844409	7.77903844035651	0.493102488761097
"393"	"DATA"	366	NA	4.30064152039212	0.243990441966969	3.1756194260867	0.160826415726527
"394"	"DAXX"	316	50	2.15454359025091	0.0828913990100455	3.70902333294451	0.206561092635853
"395"	"DAY"	305	61	2.99041657568042	0.147539492659404	3.57631429411574	0.189928409597124
"396"	"DB"	4	362	NA	NA	NA	NA
"397"	"DBET"	364	2	2.98547725007143	0.149237608870617	4.7185539631856	0.270485000191683
"398"	"DBG"	224	142	2.16076919216544	0.0833383711787299	2.43082421447239	0.109099323552156
"399"	"DBIC"	71	295	4.90371489073072	0.214244188095896	2.64259684686159	0.281703035196308
"400"	"DBIX"	366	NA	2.29846831083333	0.0990072805121374	3.66457397998045	0.19130526281675
"401"	"DBTC"	159	207	3.0191541359551	0.11580643197448	3.55809985241044	0.324879006135295
"402"	"DCC"	63	303	2.79770249063936	0.423722540562347	2.3854812361587	0.0742695900034154
"403"	"DCK"	78	288	3.54295317884847	0.13852348642109	3.10792203513818	0.391431295165844
"404"	"DCN"	340	26	3.75072787762809	0.206757368333581	4.06939451363067	0.223265598355471
"405"	"DCR"	366	NA	2.43167259590757	0.103322069829831	4.10051822601201	0.235049680122043
"406"	"DCRE"	5	361	NA	NA	NA	NA
"407"	"DCY"	353	13	3.65048242725316	0.194342800685735	6.08551661322833	0.379052028262768
"408"	"DDF"	138	228	1.99360179027929	0.0692275170346838	3.79483487382957	0.220951097134269
"409"	"DEA"	224	142	2.72543973460397	0.130805248711657	2.39699934366215	0.100819743390134
"410"	"DEEP"	19	347	NA	NA	NA	NA
"411"	"DEM"	172	194	11.8288180838528	0.624162697859509	6.41584811331154	0.671753283310062
"412"	"DES"	6	360	NA	NA	NA	NA
"413"	"DETH"	98	268	3.47552142207585	0.136479913918537	3.55138718394356	0.419445469264188
"414"	"DEUR"	NA	366	NA	NA	NA	NA
"415"	"DFS"	6	360	3.37598866411976	0.162800060733306	2.75600314193849	0.141964439865272
"416"	"DFT"	365	1	3.565753699934	0.177053826207967	5.02380625562329	0.322162333491159
"417"	"DGB"	366	NA	4.20175400939638	0.234135441591005	3.60419093702961	0.194646369456248
"418"	"DGC"	366	NA	5.72646624412955	0.350348987368279	2.29862355107486	0.0957357983396485
"419"	"DGD"	366	NA	3.46247182908542	0.176341270371116	4.11768211061811	0.238415109794192
"420"	"DGDC"	164	202	3.0972678049201	0.273041011557691	4.0088817131697	0.1717259498056
"421"	"DGMS"	61	305	3.56006029944505	0.139043389344256	2.9471453416619	0.374728295719942
"422"	"DGORE"	148	218	1.82861571858601	0.0559926613377915	1.71817270334515	0.059233886228709
"423"	"DGPT"	235	131	3.08760759459541	0.14509875812272	3.50374796219368	0.198560129165627
"424"	"DICE"	366	NA	3.19922825099405	0.164839126545499	3.53364921094697	0.184785360306713
"425"	"DIEM"	60	306	1.98369980740623	0.0695580804468849	1.92393821242069	0.0717115129290489
"426"	"DIGS"	NA	366	3.23712093920386	0.158188338644547	3.38957101589733	0.185466680020133
"427"	"DIM"	335	31	1.70986183628759	0.0491021699506656	10.877255523032	0.788290808746724
"428"	"DIME"	364	2	5.68508973166089	0.340790132269784	6.19792663254468	0.390700090720232
"429"	"DISK"	187	179	3.15308321114308	0.151866780355852	3.21383129338647	0.172346532445311
"430"	"DKC"	2	364	NA	NA	NA	NA
"431"	"DLC"	6	360	NA	NA	NA	NA
"432"	"DLISK"	154	212	1.62194766521364	0.0441998959197493	1.76269878157429	0.0588434885044592
"433"	"DLT"	366	NA	2.22003533632704	0.0914455146271841	4.84939195919074	0.280745762699711
"434"	"DMD"	366	NA	4.07663694685103	0.229958642173363	4.6243189361283	0.265036449423241
"435"	"DNA"	365	1	2.43078010812601	0.109095960474773	3.79278034746978	0.200509943569321
"436"	"DNET"	NA	366	3.21904931597144	0.157304235307875	3.39834851236493	0.185589779858167
"437"	"DNR"	332	34	3.29812652304089	0.173722036037935	5.42989938558765	0.320536269941173
"438"	"DNT"	366	NA	2.39517538405994	0.106073220220282	4.16452012737119	0.227787143124305
"439"	"DOC"	NA	366	17.7909011036415	1.18729600326176	3.37583693412977	0.184400708541734
"440"	"DOGE"	366	NA	3.01256795006976	0.153012707803667	4.33129134516957	0.239791598058586
"441"	"DOGED"	NA	366	NA	NA	NA	NA
"442"	"DOGETH"	185	181	4.90467089272257	0.224317481728081	4.58093585997783	0.451155511732121
"443"	"DON"	257	109	3.08341863153231	0.145868480821379	7.55631558061472	0.515112800739076
"444"	"DOPE"	366	NA	3.64805327386782	0.19364483367991	3.54515307976767	0.190233672824402
"445"	"DOT"	NA	366	NA	NA	NA	NA
"446"	"DOV"	361	5	2.0213664393224	0.0765546512349008	4.10360359562103	0.226353556044049
"447"	"DP"	366	NA	4.52247292052212	0.267037982960748	3.2857217003012	0.164957754870184
"448"	"DPAY"	127	239	1.90089679830929	0.0629213617301025	1.88698260427626	0.0699040220583181
"449"	"DPP"	255	111	3.12543516624057	0.153390070671761	3.21462560701931	0.167890333994108
"450"	"DPY"	366	NA	4.33473952884523	0.246511039281542	3.31562345604386	0.171175811422896
"451"	"DRA"	194	172	2.77132323489476	0.128168451053427	2.31215880353828	0.0991898821367532
"452"	"DRACO"	1	365	NA	NA	NA	NA
"453"	"DRGN"	366	NA	2.15081971660117	0.086993793542758	4.70628605803775	0.268177447154547
"454"	"DRKC"	NA	366	3.20001025913415	0.155564217291373	3.38237570036484	0.184908215226817
"455"	"DRKT"	5	361	NA	NA	NA	NA
"456"	"DRM8"	11	355	NA	NA	NA	NA
"457"	"DROP"	281	85	3.81664554324418	0.184524584777899	2.23990364745314	0.107513281395594
"458"	"DRP"	147	219	2.94285173673222	0.136698571173977	2.88253363516664	0.147001179842904
"459"	"DRPU"	343	23	3.32577576151478	0.170534152806366	4.04727548808273	0.227130504584061
"460"	"DRT"	342	24	3.78193140127469	0.206210475019292	2.97325149512351	0.145470030213293
"461"	"DRXNE"	317	49	2.40156574111225	0.104466542402062	3.58348541719084	0.189430341565387
"462"	"DRZ"	5	361	NA	NA	NA	NA
"463"	"DSB"	NA	366	3.19936519757403	0.155518604551029	3.39556749924402	0.185932097390325
"464"	"DT"	NA	366	3.21120357364986	0.156748065380765	3.37611048350659	0.183868949520532
"465"	"DTB"	366	NA	3.49461883693751	0.179103194662078	4.65638226709977	0.278796534161102
"466"	"DTC"	NA	366	17.3512504717556	1.15620800894581	3.26443562734684	0.17575429025934
"467"	"DTC*"	NA	366	NA	NA	NA	NA
"468"	"DTR"	354	12	2.45473625105956	0.111573177256976	2.59347427340107	0.113819590957219
"469"	"DUB"	11	355	NA	NA	NA	NA
"470"	"DUCK"	NA	366	17.3231669679993	1.15422220535126	3.37977170093313	0.18470610567403
"471"	"DUO"	3	363	NA	NA	NA	NA
"472"	"DUX"	188	178	5.58365354600137	0.268238034686806	3.33553968995747	0.271500974150028
"473"	"DVC"	NA	366	3.23712093920386	0.158188338644547	3.38957101589733	0.185466680020133
"474"	"DXC"	131	235	2.28903136349563	0.0727442482694756	3.9994767531415	0.415952585885151
"475"	"DYN"	366	NA	3.16767269572595	0.157259505876112	3.63454233075592	0.198586100123313
"476"	"EAC"	NA	366	3.21756391477499	0.156805448185199	3.31076536893608	0.179350175588372
"477"	"EAGS"	6	360	NA	NA	NA	NA
"478"	"EB3"	NA	366	NA	NA	NA	NA
"479"	"EBC"	39	327	2.38781418777296	0.0935664134521066	2.29776105052804	0.10740346874158
"480"	"EBET"	302	64	2.9882018569586	0.143486109664795	3.09194022940219	0.15858957951938
"481"	"EBIT"	NA	366	NA	NA	NA	NA
"482"	"EBS"	NA	366	16.7399759230293	1.1129843710887	3.41102078199565	0.187131504743482
"483"	"EBST"	366	NA	3.15963031752287	0.162327755012055	3.45958047556718	0.178908154081303
"484"	"EBTC"	363	3	2.38104605135535	0.103805777899024	2.52238943075656	0.110737536565757
"485"	"EC"	10	356	NA	NA	NA	NA
"486"	"ECA"	60	306	2.27635136159484	0.109446226329115	2.72522754167187	0.113758135314305
"487"	"ECASH"	328	38	2.91527337561475	0.132800314659807	2.48973587482285	0.118517022671322
"488"	"ECH"	246	120	1.85559978938941	0.0559323079733648	2.45037834081385	0.126239230908894
"489"	"ECO"	190	176	1.7989147072199	0.0460486781804533	3.03541967086229	0.252462738653059
"490"	"ECOB"	80	286	13.8914139618743	0.702240065507218	3.02828496614308	0.37664306270737
"491"	"EDC"	82	284	3.66652385295213	0.14612460701697	3.35648696935349	0.410211727915202
"492"	"EDDIE"	235	131	4.1114979720547	0.207895703054832	2.88649853841447	0.158311440589138
"493"	"EDG"	186	180	4.18211792195925	0.190850750279399	4.40784133917853	0.363277107369562
"494"	"EDGE"	NA	366	17.25382147429	1.1493187384666	3.37405280013087	0.184262232887616
"495"	"EDO"	366	NA	4.44761127645285	0.2501160100678	4.54139256235859	0.266942508288607
"496"	"EDRC"	207	159	5.26371027089127	0.532963783861409	4.38132246273759	0.194573243304365
"497"	"EFL"	366	NA	3.07544800047286	0.153842441211616	3.3889299679766	0.176114253797763
"498"	"EFYT"	223	143	2.95293944906238	0.140941264578401	3.06028455340415	0.156189768915152
"499"	"EGAS"	115	251	1.74869415971484	0.0521639938680648	1.57580080809207	0.0455210508034113
"500"	"EGC"	366	NA	3.7170940929432	0.197639513511581	3.6423242807316	0.198609255030734
"501"	"EGG"	2	364	NA	NA	NA	NA
"502"	"EGO"	90	276	1.99161503763965	0.0721293804800026	2.00714948047212	0.0757019906601983
"503"	"EKN"	NA	366	NA	NA	NA	NA
"504"	"EKO"	358	8	2.48565592409388	0.12601169081299	3.1982153171709	0.145900674992245
"505"	"ELC"	3	363	NA	NA	NA	NA
"506"	"ELE"	109	257	3.32786868400532	0.130335624266324	2.74497594884884	0.254530901942866
"507"	"ELITE"	275	91	3.86372997810072	0.166450923977049	1.75837575160949	0.0906432394949136
"508"	"ELIX"	366	NA	4.14041013714407	0.243012232380779	3.95002446854095	0.209121690006338
"509"	"ELLA"	365	1	3.2144225899054	0.164596734839417	9.61131143378449	0.633116208152195
"510"	"ELM"	5	361	NA	NA	NA	NA
"511"	"ELP"	265	101	2.75521962179781	0.131930385699695	1.83343211862259	0.0606232661935785
"512"	"ELS"	NA	366	3.20666688482794	0.156034911808163	3.36923690019747	0.183888446561111
"513"	"ELTC2"	31	335	2.2604167336596	0.0914402405511276	2.3982193493302	0.105394749007799
"514"	"ELTCOIN"	136	230	1.7206592838366	0.0503330276759087	2.18012568534797	0.0930069333292786
"515"	"EMB"	233	133	5.34074592007228	0.262713894314752	4.99049372817442	0.41379492342416
"516"	"EMC"	366	NA	3.39454990954019	0.18101095893073	3.55960111985105	0.185206237000227
"517"	"EMC2"	366	NA	3.50719827587433	0.183344496096598	6.88331722899692	0.439739775874438
"518"	"EMD"	312	54	3.19471268532914	0.156366804400745	3.89955569598099	0.223042745844691
"519"	"EMPC"	5	361	NA	NA	NA	NA
"520"	"EMV"	125	241	1.7795109351648	0.057940591504365	1.87575091423486	0.064386487745749
"521"	"ENE"	150	216	1.93786170673545	0.0658249874306859	1.89987536169633	0.070483678073534
"522"	"ENG"	366	NA	3.52541422043959	0.183212803861901	2.33063625116575	0.100300481308225
"523"	"ENJ"	366	NA	2.22915017299488	0.0908613953075305	2.42590078401132	0.105405618981197
"524"	"ENRG"	300	66	3.4594091958208	0.175672085415772	3.41870883694835	0.185506499615513
"525"	"ENT"	353	13	1.78634498095148	0.0568979259215645	3.4214332346689	0.183043147293732
"526"	"ENTER"	97	269	3.3333754252453	0.128839104557691	5.28975756717412	0.695890568853429
"527"	"ENTRC"	15	351	2.67814928954045	0.105713468641994	1.90293450956111	0.0845675650442407
"528"	"EOC"	178	188	2.14515064824871	0.0820059412226801	5.36792896099604	0.334023876027129
"529"	"EOS"	366	NA	2.94761661488852	0.142423832323981	3.52265834839967	0.188552337661755
"530"	"EPY"	1	365	NA	NA	NA	NA
"531"	"EQ"	NA	366	3.14771704923169	0.151866528958169	3.27294552384985	0.176414786323792
"532"	"EQM"	2	364	NA	NA	NA	NA
"533"	"EQT"	2	364	NA	NA	NA	NA
"534"	"EQUAL"	9	357	NA	NA	NA	NA
"535"	"ERC"	286	80	6.1071194518822	0.365728420298896	2.31375285480593	0.100465191769949
"536"	"EREAL"	140	226	2.7733215683698	0.126990195156455	1.57192751827862	0.0437363904422197
"537"	"ERO"	353	13	2.41514797536046	0.103210273697108	2.98351174398109	0.148670490760927
"538"	"ERR"	97	269	2.0028484679024	0.0712693372509724	2.02393956499561	0.0789986525187751
"539"	"ERY"	NA	366	NA	NA	NA	NA
"540"	"ESP"	241	125	3.38853001455658	0.170175717344735	4.64570045379624	0.280438496445864
"541"	"EST"	NA	366	NA	NA	NA	NA
"542"	"ETBS"	337	29	2.60574366114318	0.116187533581248	3.03525133691551	0.15385053979972
"543"	"ETBT"	30	336	2.3834917428004	0.0928538860519092	1.94492463756909	0.0787437197974241
"544"	"ETC"	366	NA	4.69691594110005	0.26891106568222	6.49723199196119	0.41319725917677
"545"	"ETG"	116	250	1.76414281560057	0.0511707877459198	1.59140853827858	0.0494560664785437
"546"	"ETH"	366	NA	9.3143055643141	0.596932351314017	3.18579691557436	0.166665452331253
"547"	"ETHB"	12	354	2.42023921782363	0.10358159071641	2.63744411876589	0.122731625597493
"548"	"ETHD"	363	3	4.00512421912233	0.226519760982694	3.49853279972158	0.181262620631888
"549"	"ETHOS"	349	17	2.36675462469924	0.100485798489322	3.43096170693561	0.180691960651626
"550"	"ETHS"	117	249	3.16560765905329	0.120872432599257	3.44047787333958	0.363804961491429
"551"	"ETL"	3	363	NA	NA	NA	NA
"552"	"ETN"	365	1	2.85766320754351	0.139237744153555	3.39009288949746	0.174315439502862
"553"	"ETP"	366	NA	3.95915672713111	0.216394971322127	2.87457972371578	0.14011266696664
"554"	"ETT"	336	30	3.81937240747581	0.211917007153996	3.27552518087356	0.165520101383035
"555"	"EUC"	75	291	7.04364643727021	0.326326234388133	1.79682946520833	0.166150429041328
"556"	"EVC"	316	50	1.93947359683913	0.0720543356722121	3.83540396165093	0.202528854403638
"557"	"EVENT"	NA	366	3.21319543478454	0.156496550002726	3.29209371013825	0.177900973809198
"558"	"EVIL"	79	287	4.99936887941759	0.215945621554082	6.11226321979396	1.06598056978087
"559"	"EVR"	129	237	2.10511711594692	0.0638039664378018	1.98313526249862	0.121015585295313
"560"	"EVX"	366	NA	3.14020945772211	0.15996676545411	2.52873910781813	0.111792475323211
"561"	"EXB"	250	116	2.93021379179371	0.144675640348625	2.25420852467675	0.0914725578942808
"562"	"EXC"	NA	366	3.18363657590501	0.15440642304694	3.27013817758535	0.176196893995889
"563"	"EXCL"	366	NA	4.04516585764459	0.223885046524113	3.81469251819864	0.209214447226274
"564"	"EXE"	NA	366	17.4638074634987	1.16416699015896	3.38050768163764	0.184763228855102
"565"	"EXIT"	162	204	5.07856853641483	0.233538155033609	6.03706741484098	0.644930395807897
"566"	"EXN"	282	84	1.49583358879178	0.0353266804863328	19.0196888172223	1.3861299090171
"567"	"EXP"	366	NA	3.88123713102234	0.216567044526721	3.13218128942189	0.155093367526101
"568"	"EZC"	NA	366	17.670533580926	1.18174279329788	3.30355781371285	0.178254655373655
"569"	"F16"	123	243	3.84307758897985	0.158438519699973	3.02022336007779	0.304560130822231
"570"	"FAIR"	90	276	3.24289544991644	0.153321176535053	3.47961885434927	0.201123647207586
"571"	"FAME"	NA	366	3.1991921100377	0.155896595300835	3.35627605071954	0.182334115031057
"572"	"FAZZ"	89	277	2.91897210760219	0.10453307158815	3.46040272017787	0.456885315175167
"573"	"FC"	53	313	1.74340393053801	0.058771241050543	1.85800045018683	0.0597797239922234
"574"	"FC2"	126	240	2.54270938978958	0.106204494271808	2.28857501556162	0.103500835923993
"575"	"FCN"	362	4	1.87966669534994	0.0639863367900441	1.90597274751247	0.0680970817146559
"576"	"FCS"	NA	366	3.23046150350639	0.157717445430491	3.39280600934908	0.185717764206956
"577"	"FCT"	366	NA	3.66370529963062	0.19583950852372	3.68860210814887	0.199842220857485
"578"	"FFC"	160	206	3.63241837754694	0.149511317021724	8.24978764060113	0.968793624214201
"579"	"FGZ"	176	190	1.72242982757007	0.0505802049827079	3.86334652295586	0.224965749252112
"580"	"FIBRE"	NA	366	17.5515837255571	1.17037370917184	3.37456426469841	0.184301930236914
"581"	"FIND"	45	321	1.74602729591429	0.040048843602743	3.69240875399304	0.617680930176837
"582"	"FIRE"	188	178	1.87945848545313	0.0628184632466521	3.65621911688048	0.203722706535441
"583"	"FIRST"	NA	366	NA	NA	NA	NA
"584"	"FIST"	110	256	3.71204496548568	0.152564448871764	4.32363630614779	0.470033154054982
"585"	"FIT"	217	149	1.47231084993201	0.0333974204814909	5.22839574927197	0.328187158369186
"586"	"FJC"	366	NA	4.71541580851178	0.268838052714114	4.29660028113026	0.249199557595894
"587"	"FLASH"	365	1	3.50327030944259	0.190872571673026	2.50953414217925	0.108378235308962
"588"	"FLDC"	366	NA	2.59496337418956	0.112221231401452	3.88867546138114	0.225567656839599
"589"	"FLEX"	NA	366	17.3771783078838	1.15804138382059	3.35676241801476	0.182920238970708
"590"	"FLIK"	49	317	1.99385716612922	0.0694139954492349	1.93473217823612	0.0736672156714428
"591"	"FLIXX"	366	NA	2.8675965119786	0.144088199087908	2.92886188954863	0.137078245534268
"592"	"FLLW"	65	301	1.6090866888032	0.0450249836218612	1.60370159539439	0.0446269060624744
"593"	"FLO"	366	NA	4.00779228849682	0.223567440116705	3.86973151408027	0.210986857063521
"594"	"FLT"	293	73	3.09564885819014	0.148556608786817	2.30324458787557	0.100848093977249
"595"	"FLVR"	7	359	NA	NA	NA	NA
"596"	"FLX"	143	223	1.82591714656397	0.0596054358621296	1.99073618889935	0.0751075166507415
"597"	"FLY"	3	363	NA	NA	NA	NA
"598"	"FNL"	21	345	1.93380013694232	0.0886323866413584	2.37635882097098	0.0861909326941345
"599"	"FNX"	NA	366	NA	NA	NA	NA
"600"	"FONZ"	108	258	1.70737862349154	0.0390584504524475	3.40853044498001	0.390715231621366
"601"	"FOREX"	212	154	3.6269002682115	0.157268405355448	4.36555119513366	0.360824962294112
"602"	"FORK"	335	31	2.49184108416496	0.111195269193995	3.80129535177524	0.205400940830283
"603"	"FPC"	58	308	2.5446284331286	0.0834020959603599	2.61184479297211	0.336092872557526
"604"	"FRAC"	NA	366	17.0840034052958	1.13731078765122	3.2975214972064	0.178322251787835
"605"	"FRAZ"	NA	366	3.23046150350639	0.157717445430491	3.39280600934908	0.185717764206956
"606"	"FRC"	15	351	2.56873203527759	0.117252537429064	2.7316771625474	0.126632775646163
"607"	"FRD"	187	179	3.0075054337601	0.137230246294395	2.31819915072067	0.106920069781636
"608"	"FRE"	113	253	1.40562732760797	0.0223629584705915	6.8064802237173	0.954579468587708
"609"	"FRK"	106	260	3.63970862850682	0.145753526119474	4.68302627552015	0.597465756476818
"610"	"FRN"	6	360	NA	NA	NA	NA
"611"	"FRST"	341	25	2.25644281077078	0.0909130110875969	3.89090791045232	0.218532096978464
"612"	"FRWC"	3	363	NA	NA	NA	NA
"613"	"FSN"	213	153	2.34364521686491	0.118762580544256	2.66951498641968	0.108218583072338
"614"	"FST"	24	342	3.43619962212624	0.129849876155645	7.40189430278744	1.71097822195504
"615"	"FT"	176	190	2.72779231287186	0.147615259344622	4.42751571511062	0.226496613789723
"616"	"FTC"	366	NA	4.31909081044063	0.251619624985576	3.73702502984881	0.197527767220244
"617"	"FTP"	NA	366	3.19375590134047	0.155121967410585	3.39112094896204	0.185586978156431
"618"	"FUCK"	NA	366	3.16246584758561	0.15290942649121	3.36617942291181	0.183651140300851
"619"	"FUEL"	366	NA	3.50163244333328	0.184422790512807	3.04886725411465	0.151872145204179
"620"	"FUN"	366	NA	3.95005234951463	0.209651091401024	6.19883350924252	0.401098713185649
"621"	"FUNC"	178	188	2.7392828092424	0.103026222016042	3.56603104758411	0.285114560842678
"622"	"FUNK"	251	115	3.08055186743886	0.129030349338431	3.07438862928641	0.201482434866055
"623"	"FUTC"	15	351	NA	NA	NA	NA
"624"	"FUZZ"	104	262	2.77885627582151	0.0988253486567508	6.96926788430678	0.921078031369664
"625"	"FX"	9	357	NA	NA	NA	NA
"626"	"FYN"	260	106	2.80019241250663	0.129917696744228	2.61764669668052	0.122633479595538
"627"	"FYP"	358	8	3.03688597713484	0.143670859397592	3.93534392112721	0.228516214334848
"628"	"GAIA"	112	254	2.97226602418738	0.142336039997267	2.44475578678751	0.109526653541291
"629"	"GAKH"	3	363	NA	NA	NA	NA
"630"	"GAM"	363	3	2.91629483265887	0.142045223522959	4.76467038756614	0.277535183110583
