"","clusters","symb_assets"
"311","3","CXO"
"312","8","COP"
"313","8","ED"
"314","1","STZ"
"315","9","CPRT"
"316","9","GLW"
"317","10","COST"
"318","9","COTY"
"319","3","CCI"
"320","4","CSX"
"321","8","CMI"
"322","8","CVS"
"323","4","DHI"
"324","8","DHR"
"325","4","DRI"
"326","3","DVA"
"327","8","DE"
"328","9","DAL"
"329","3","XRAY"
"330","8","DVN"
"331","3","FANG"
"332","4","DLR"
"333","4","DFS"
"334","8","DISCA"
"335","6","DISCK"
"336","3","DISH"
"337","1","DG"
"338","6","DLTR"
"339","6","D"
"340","8","DOV"
"341","8","DTE"
"342","1","DUK"
"343","9","DRE"
"344","3","DD"
"345","9","DXC"
"346","8","ETFC"
"347","8","EMN"
"348","1","ETN"
"349","9","EBAY"
"350","8","ECL"
"351","9","EIX"
"352","6","EW"
"353","9","EA"
"354","8","EMR"
"355","8","ETR"
"356","3","EOG"
"357","6","EFX"
"358","8","EQIX"
"359","9","EQR"
"360","3","ESS"
"361","9","EL"
"362","6","RE"
"363","9","EVRG"
"364","6","ES"
"365","4","EXC"
"366","1","EXPE"
"367","4","EXPD"
"368","6","EXR"
"369","8","XOM"
"370","8","FFIV"
"371","6","FB"
"372","9","FAST"
"373","6","FRT"
"374","10","FDX"
"375","4","FIS"
"376","9","FITB"
"377","3","FRC"
"378","4","FE"
"379","6","FISV"
"380","8","FLT"
"381","9","FLIR"
"382","4","FLS"
"383","1","FMC"
"384","4","F"
"385","3","FTNT"
"386","6","FTV"
"387","1","FBHS"
"388","3","BEN"
"389","8","FCX"
"390","10","GPS"
"391","3","GRMN"
"392","1","IT"
"393","8","GD"
"394","9","GE"
"395","10","GIS"
"396","1","GM"
"397","10","GPC"
"398","1","GILD"
"399","6","GPN"
"400","9","GL"
"401","3","GS"
"402","8","GWW"
"403","3","HAL"
"404","1","HBI"
"405","10","HOG"
"406","8","HIG"
"407","1","HAS"
"408","9","HCA"
"409","9","HCP"
"410","8","HP"
"411","8","HSIC"
"412","8","HES"
"413","9","HPE"
"414","10","HLT"
"415","8","HFC"
"416","4","HOLX"
"417","3","HD"
"418","4","HON"
"419","9","HRL"
"420","4","HST"
"421","4","HPQ"
"422","10","HUM"
"423","9","HBAN"
"424","10","HII"
"425","4","IEX"
"426","4","IDXX"
"427","9","INFO"
"428","4","ITW"
"429","8","ILMN"
"430","4","INCY"
"431","1","IR"
"432","9","INTC"
"433","8","ICE"
"434","3","IBM"
"435","4","IP"
"436","6","IPG"
"437","10","IFF"
"438","6","INTU"
"439","6","ISRG"
"440","9","IVZ"
"441","1","IPGP"
"442","4","IQV"
"443","1","IRM"
"444","10","JBHT"
"445","4","JKHY"
"446","4","JEC"
"447","8","SJM"
"448","8","JNJ"
"449","4","JCI"
"450","6","JPM"
"451","6","JNPR"
"452","8","KSU"
"453","4","K"
"454","9","KEY"
"455","3","KEYS"
"456","8","KMB"
"457","9","KIM"
"458","3","KMI"
"459","3","KLAC"
"460","3","KSS"
"461","3","KHC"
"462","1","KR"
"463","3","LB"
"464","10","LH"
"465","4","LRCX"
"466","4","LW"
"467","4","LEG"
"468","6","LDOS"
"469","4","LEN"
"470","8","LLY"
"471","6","LNC"
"472","10","LIN"
"473","9","LKQ"
"474","8","LMT"
"475","9","L"
"476","1","LOW"
"477","6","LYB"
"478","3","MTB"
"479","9","MAC"
"480","1","M"
"481","3","MRO"
"482","10","MPC"
"483","8","MKTX"
"484","9","MAR"
"485","4","MMC"
"486","8","MLM"
"487","9","MAS"
"488","3","MA"
"489","9","MXIM"
"490","8","MKC"
"491","6","MCD"
"492","6","MCK"
"493","4","MDT"
"494","4","MRK"
"495","6","MET"
"496","10","MTD"
"497","9","MGM"
"498","9","MCHP"
"499","4","MU"
"500","8","MSFT"
"501","4","MAA"
"502","1","MHK"
"503","4","TAP"
"504","6","MDLZ"
"505","4","MNST"
"506","8","MCO"
"507","9","MS"
"508","3","MSI"
"509","3","MSCI"
"510","4","MYL"
"511","9","NDAQ"
"512","1","NOV"
"513","6","NKTR"
"514","3","NTAP"
"515","8","NFLX"
"516","9","NWL"
"517","8","NEM"
"518","1","NWS"
"519","6","NWSA"
"520","10","NEE"
"521","8","NLSN"
"522","3","NKE"
"523","9","NI"
"524","8","NBL"
"525","3","JWN"
"526","10","NSC"
"527","4","NTRS"
"528","8","NOC"
"529","9","NCLH"
"530","8","NRG"
"531","8","NUE"
"532","4","NVDA"
"533","10","NVR"
"534","8","OXY"
"535","3","OMC"
"536","9","OKE"
"537","4","ORCL"
"538","8","ORLY"
"539","1","PCAR"
"540","1","PKG"
"541","8","PH"
"542","4","PAYX"
"543","6","PYPL"
"544","6","PNR"
"545","4","PBCT"
"546","10","PEP"
"547","4","PKI"
"548","3","PRGO"
"549","6","PFE"
"550","10","PM"
"551","8","PSX"
"552","4","PNW"
"553","8","PXD"
"554","8","PNC"
"555","6","PPG"
"556","9","PPL"
"557","4","PFG"
"558","3","PG"
"559","9","PGR"
"560","4","PLD"
"561","8","PRU"
"562","4","PEG"
"563","10","PSA"
"564","9","PHM"
"565","3","PVH"
"566","8","QRVO"
"567","3","QCOM"
"568","4","PWR"
"569","3","DGX"
"570","3","RL"
"571","6","RJF"
"572","8","RTN"
"573","9","O"
"574","6","REG"
"575","10","REGN"
"576","9","RF"
"577","10","RSG"
"578","6","RMD"
"579","4","RHI"
"580","3","ROK"
"581","9","ROL"
"582","10","ROP"
"583","9","ROST"
"584","6","RCL"
"585","6","SPGI"
"586","6","CRM"
"587","4","SBAC"
"588","8","SLB"
"589","8","STX"
"590","8","SEE"
