asset_unique,symb_assets,type_assets,F1,F2,F3,cluster
BlackRoc_BLK,BLK,Stock,-0.548792837,-0.103288595,-0.333082015,1
BlockH&_HRB,HRB,Stock,-0.428405287,0.420542251,0.759899037,7
BoeingCompan_BA,BA,Stock,-0.521317786,-0.108963241,-0.715231713,3
BookingHoldingsIn_BKNG,BKNG,Stock,-0.457422299,0.320996576,-0.104320838,1
BorgWarne_BWA,BWA,Stock,-0.474415589,-0.004165588,-0.886567051,3
BostonPropertie_BXP,BXP,Stock,-0.628263379,-0.27467197,-0.075859727,1
BostonScientifi_BSX,BSX,Stock,-0.511233816,-0.385107415,-0.21207866,1
Bristol-MyersSquib_BMY,BMY,Stock,-0.482857452,0.792139493,-0.697821354,3
BroadcomInc_AVGO,AVGO,Stock,-0.409910839,-0.205396024,-0.225638685,1
BroadridgeFinancialSolution_BR,BR,Stock,-0.587267223,0.024394138,-0.868432045,3
Brown-FormanCorp_BF-B,BF-B,Stock,-0.587373333,-0.180162345,-0.006816546,1
C.H.RobinsonWorldwid_CHRW,CHRW,Stock,-0.510448597,-0.058527316,2.182075478,6
CBREGrou_CBRE,CBRE,Stock,-0.500737708,-0.127980637,-0.142714032,1
CBSCorp_CBS,CBS,Stock,-0.572329702,-0.343050878,-0.578875006,3
CD_CDW,CDW,Stock,-0.515234834,-0.157426579,-0.741026654,3
CFIndustriesHoldingsIn_CF,CF,Stock,-0.371514434,-0.163815762,-1.090988702,3
CIGNACorp_CI,CI,Stock,-0.522789384,0.034586185,-1.10341109,3
CMEGroupInc_CME,CME,Stock,-0.59051282,-0.374012294,1.106660274,7
CMSEnerg_CMS,CMS,Stock,-0.672376711,-0.070958228,-1.095611905,3
CSXCorp_CSX,CSX,Stock,-0.475057942,-0.561170843,1.660777078,7
CVSHealt_CVS,CVS,Stock,-0.529122329,0.238776877,-1.01572202,3
CabotOil&Ga_COG,COG,Stock,-0.395132702,-0.101380373,-0.914679601,3
CadenceDesignSystem_CDNS,CDNS,Stock,-0.509083106,-0.221285685,-0.741346441,3
CampbellSou_CPB,CPB,Stock,-0.502003823,0.166585272,0.208192839,1
CapitalOneFinancia_COF,COF,Stock,-0.545994175,0.066821485,-0.818484695,3
CapriHolding_CPRI,CPRI,Stock,-0.319210386,0.289723549,0.684267819,7
CardinalHealthInc_CAH,CAH,Stock,-0.464977259,1.058327118,1.596985263,8
CarmaxIn_KMX,KMX,Stock,-0.467451113,-0.536333971,0.52045554,1
CarnivalCorp_CCL,CCL,Stock,-0.526522889,0.161223085,-0.733408671,3
CaterpillarInc_CAT,CAT,Stock,-0.496574119,-0.033534285,-0.916845663,3
CboeGlobalMarket_CBOE,CBOE,Stock,-0.587018812,-0.227774435,1.138297558,7
Celanes_CE,CE,Stock,-0.51718824,-0.175676183,-0.773380211,3
CelgeneCorp_CELG,CELG,Stock,-0.415105729,-0.008323751,-0.360162377,1
CenteneCorporatio_CNC,CNC,Stock,-0.396768131,0.344619432,-0.899015268,3
