""	"SYM"	"Algorithm"	"ProofType"	"PercVolume"	"ClassVolume"	"PercMKCaP"	"ClassMKCaP"	"ClassVolumeUSD"	"ClassRet"	"ClassRisk"	"DecVolumeUSD"	"DecRet"	"DecRisk"	"ClassSharpeR"	"ClassBeta"	"DecAge"	"Kmeans"	"HistDAWass"	"TADPole"	"Combi"
"856"	"LGBTQ"	"X11"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D6"	"D7"	"D8"	"ERP"	"NegBeta"	"D5"	2	1	2	7
"857"	"LGD"	"N/A"	"N/A"	"P70"	"BC"	"P90"	"BC"	"Average"	"Average"	"Low"	"D8"	"D6"	"D4"	"ERP"	"Indexlike"	"D9"	2	3	2	2
"858"	"LIFE"	"N/A"	"N/A"	"P90"	"BC"	"P90"	"BC"	"High"	"Low"	"High"	"D10"	"D4"	"D10"	"SRF"	"LowVol"	"D10"	3	1	3	5
"859"	"LIMX"	"X11"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Average"	"D4"	"D8"	"D8"	"SRF"	"NegBeta"	"D4"	2	1	2	7
"860"	"LINDA"	"Scrypt"	"PoW/PoS"	"P90"	"BC"	"P90"	"BC"	"High"	"High"	"Average"	"D10"	"D10"	"D6"	"SRF"	"Indexlike"	"D10"	2	3	2	2
"861"	"LINK"	"N/A"	"N/A"	"P99"	"BC"	"P100"	"BC"	"High"	"High"	"Average"	"D10"	"D10"	"D4"	"SRF"	"HighVol"	"D10"	2	3	1	19
"862"	"LINX"	"Scrypt"	"PoW"	"P80"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D9"	"D4"	"D6"	"ERP"	"HighVol"	"D10"	3	3	2	4
"863"	"LIR"	"POS 3.0"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D5"	"D10"	"D8"	"ERP"	"LowVol"	"D4"	2	1	2	7
"864"	"LIT"	"Blake"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D7"	"D7"	"ERP"	"Indexlike"	"D10"	2	3	3	1
"865"	"LIV"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D9"	"D4"	"D10"	"ERP"	"LowVol"	"D6"	3	1	3	5
"866"	"LK7"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	NA	2	3	2	2
"867"	"LKK"	"N/A"	"N/A"	"P90"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D6"	"D5"	"SRF"	"LowVol"	"D10"	2	3	3	1
"868"	"LKY"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"SRF"	"LowVol"	NA	2	3	2	2
"869"	"LMC"	"Scrypt"	"PoW/PoS"	"P90"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D9"	"SRF"	"HighVol"	"D10"	3	1	3	5
"870"	"LNK"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D4"	"D4"	"D10"	"SRF"	"HighVol"	"D6"	3	1	3	5
"871"	"LOC"	"Quark"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D8"	"D4"	"D10"	"SRF"	"HighVol"	"D6"	3	2	3	11
"872"	"LOCI"	"N/A"	"N/A"	"P80"	"BC"	"P80"	"BC"	"Average"	"Low"	"Average"	"D7"	"D4"	"D8"	"ERP"	"LowVol"	"D9"	3	1	2	6
"873"	"LOG"	"N/A"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D7"	"D9"	"D8"	"SRF"	"Indexlike"	"D10"	2	1	2	7
"874"	"LOOK"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"High"	"Low"	"High"	"D9"	"D4"	"D9"	"ERP"	"NegBeta"	"D5"	3	1	2	6
"875"	"LQD"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D8"	2	3	2	2
"876"	"LRC"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D6"	"D5"	"ERP"	"HighVol"	"D10"	2	3	2	2
"877"	"LSD"	"NIST5"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D6"	"D10"	"D5"	"ERP"	"LowVol"	"D4"	2	3	2	2
"878"	"LSK"	"DPoS"	"DPoS"	"P100"	"BC"	"P99"	"BC"	"High"	"Average"	"Low"	"D10"	"D5"	"D4"	"SRF"	"HighVol"	"D10"	3	3	3	3
"879"	"LTB"	"Scrypt"	"PoW"	"P80"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D6"	"D6"	"D6"	"SRF"	"Indexlike"	"D10"	2	3	3	1
"880"	"LTBC"	"N/A"	"PoP/PoV/PoQ"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D10"	2	3	2	2
"881"	"LTC"	"Scrypt"	"PoW"	"P100"	"AC"	"P100"	"BC"	"High"	"Average"	"Low"	"D10"	"D6"	"D4"	"ERP"	"Indexlike"	"D10"	2	3	2	2
"882"	"LTCD"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"SRF"	"LowVol"	"D4"	2	3	3	1
"883"	"LTCR"	"QuBit"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D6"	"D7"	"D10"	"ERP"	"LowVol"	"D7"	3	1	3	5
"884"	"LTCU"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D6"	"D7"	"D9"	"ERP"	"LowVol"	"D7"	3	1	1	21
"885"	"LTCX"	"X11"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"SRF"	"LowVol"	NA	2	3	3	1
"886"	"LTD"	"PoS"	"PoS"	"P80"	"BC"	"P70"	"BC"	"Low"	"High"	"Average"	"D4"	"D10"	"D6"	"ERP"	"LowVol"	"D9"	2	3	2	2
"887"	"LTE"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D7"	"D4"	"ERP"	"Indexlike"	"D4"	2	3	2	2
"888"	"LTG"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D7"	"D4"	"D10"	"SRF"	"HighVol"	"D6"	3	4	3	13
"889"	"LTH"	"PoS"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D6"	"D10"	"D8"	"ERP"	"LowVol"	"D4"	2	1	3	8
"890"	"LTS"	"N/A"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D8"	"D9"	"D7"	"ERP"	"NegBeta"	"D10"	2	3	3	1
"891"	"LUCKY"	"PoS"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D5"	"D4"	"D10"	"SRF"	"LowVol"	"D4"	3	1	2	6
"892"	"LUN"	"N/A"	"N/A"	"P99"	"BC"	"P90"	"BC"	"High"	"Average"	"Average"	"D9"	"D5"	"D5"	"SRF"	"HighVol"	"D10"	3	3	2	4
"893"	"LUX"	"PHI1612"	"PoW/PoS"	"P90"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D5"	"SRF"	"LowVol"	"D10"	3	3	2	4
"894"	"LUX*"	NA	NA	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D4"	"D6"	"D8"	"SRF"	"LowVol"	"D6"	3	1	2	6
"895"	"LVG"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D4"	"D9"	"D8"	"SRF"	"LowVol"	"D7"	2	3	3	1
"896"	"LXC"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"SRF"	"LowVol"	"D10"	2	3	3	1
"897"	"LYB"	"Lyra2RE"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"ERP"	"CashLike"	"D4"	2	2	2	10
"898"	"LYC"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"High"	"High"	"Average"	"D10"	"D10"	"D4"	"SRF"	"LowVol"	"D4"	2	3	3	1
"899"	"M1"	"X13"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"High"	"D4"	"D9"	"D10"	"SRF"	"NegBeta"	"D4"	2	2	2	10
"900"	"MAC"	"Time Travel"	"PoW"	"P80"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D9"	"D4"	"D7"	"SRF"	"LowVol"	"D10"	3	1	3	5
"901"	"MAD*"	NA	NA	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D9"	"D6"	"D9"	"SRF"	"LowVol"	"D6"	3	1	3	5
"902"	"MAID"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Low"	"D10"	"D7"	"D4"	"SRF"	"Indexlike"	"D10"	2	3	3	1
"903"	"MAN"	"Scrypt"	"PoW"	"P99"	"BC"	"P70"	"BC"	"High"	"High"	"High"	"D10"	"D10"	"D9"	"SRF"	"HighVol"	"D8"	2	1	3	8
"904"	"MANA"	"N/A"	"N/A"	"P100"	"BC"	"P99"	"BC"	"High"	"High"	"Average"	"D10"	"D10"	"D5"	"SRF"	"HighVol"	"D10"	2	3	3	1
"905"	"MAPC"	"X11"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"CashLike"	"D4"	2	2	2	10
"906"	"MAR"	"X11"	"PoW/PoS"	"P80"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D7"	"D4"	"D6"	"ERP"	"LowVol"	"D10"	3	3	2	4
"907"	"MARS"	"X11"	"PoW"	"P80"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D7"	"D5"	"SRF"	"LowVol"	"D10"	2	3	3	1
"908"	"MARV"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D8"	"D6"	"D9"	"ERP"	"NegBeta"	"D5"	3	1	3	5
"909"	"MARX"	"X11"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D6"	"D9"	"D8"	"SRF"	"NegBeta"	"D5"	2	1	2	7
"910"	"MARYJ"	"X15"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"CashLike"	"D4"	2	2	2	10
"911"	"MAT"	"N/A"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D4"	"D4"	"D10"	"SRF"	"LowVol"	"D4"	3	1	2	6
"912"	"MAT*"	NA	NA	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D8"	"D6"	"D9"	"SRF"	"NegBeta"	"D6"	3	1	3	5
"913"	"MAX"	"SHA3"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D6"	"D10"	"D9"	"SRF"	"NegBeta"	"D9"	2	1	2	7
"914"	"MAY"	"SHA256"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D6"	"D4"	"D9"	"ERP"	"LowVol"	"D5"	3	1	2	6
"915"	"MBC"	"Scrypt"	"PoW and PoS"	"P70"	"BC"	"P80"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"SRF"	"LowVol"	"D4"	2	3	3	1
"916"	"MBI"	"N/A"	"N/A"	"P70"	"BC"	"P80"	"BC"	"Average"	"Average"	"Average"	"D7"	"D8"	"D8"	"SRF"	"LowVol"	"D8"	2	3	2	2
"917"	"MBIT"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D5"	"D4"	"D10"	"ERP"	"HighVol"	"D4"	3	1	2	6
"918"	"MBRS"	"N/A"	"N/A"	"P80"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D8"	"D4"	"D7"	"ERP"	"LowVol"	"D10"	3	3	2	4
"919"	"MCAP"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D6"	"D4"	"D7"	"ERP"	"LowVol"	"D10"	3	3	2	4
"920"	"MCAR"	"Scrypt"	"PoW/PoS"	"P80"	"BC"	"P70"	"BC"	"High"	"Average"	"Average"	"D9"	"D8"	"D8"	"ERP"	"HighVol"	"D10"	2	3	2	2
"921"	"MCI"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D7"	"D4"	"D7"	"SRF"	"HighVol"	"D9"	3	3	3	3
"922"	"MCO"	"N/A"	"N/A"	"P100"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D7"	"D4"	"SRF"	"HighVol"	"D10"	2	3	3	1
"923"	"MCRN"	"PoS"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D9"	"D6"	"D8"	"ERP"	"LowVol"	"D7"	3	1	3	5
"924"	"MDA"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"High"	"High"	"Average"	"D10"	"D10"	"D5"	"ERP"	"HighVol"	"D10"	2	3	3	1
"925"	"MDC"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"ERP"	"LowVol"	"D4"	2	3	2	2
"926"	"MDT"	"SHA256"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"High"	"Average"	"High"	"D10"	"D7"	"D10"	"ERP"	"LowVol"	"D9"	3	1	3	5
"927"	"MEC"	"Scrypt"	"PoW"	"P80"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D9"	"D4"	"D5"	"ERP"	"LowVol"	"D10"	3	3	3	3
"928"	"MED"	"HybridScryptHash256"	"PoW"	"P70"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D7"	"ERP"	"LowVol"	"D7"	3	1	2	6
"929"	"MEDI"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D4"	"D6"	"D10"	"ERP"	"HighVol"	"D4"	3	4	2	12
"930"	"MEGA"	"N/A"	"N/A"	"P70"	"BC"	"P90"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D4"	2	3	3	1
"931"	"MEME"	"X11"	"PoW/PoS"	"P99"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D4"	"ERP"	"Indexlike"	"D10"	3	3	2	4
"932"	"MEOW"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D7"	"D4"	"ERP"	"Indexlike"	"D4"	2	3	2	2
"933"	"MER"	"N/A"	"N/A"	"P99"	"BC"	"P80"	"BC"	"High"	"Average"	"Average"	"D10"	"D5"	"D4"	"ERP"	"HighVol"	"D10"	3	3	2	4
"934"	"MET"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D4"	2	3	2	2
"935"	"METAL"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D5"	"D10"	"D10"	"ERP"	"LowVol"	"D5"	2	1	3	8
"936"	"MG"	"SHA256"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D9"	2	3	2	2
"937"	"MGO"	"N/A"	"N/A"	"P70"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D7"	"D8"	"ERP"	"NegBeta"	"D5"	2	1	2	7
"938"	"MHC"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D6"	"D4"	"D10"	"SRF"	"NegBeta"	"D4"	3	2	2	14
"939"	"MI"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"ERP"	"CashLike"	"D4"	2	2	2	10
"940"	"MIC"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"ERP"	"CashLike"	"D4"	2	2	3	9
"941"	"MIL"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"ERP"	"LowVol"	"D9"	2	3	2	2
"942"	"MILO"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D6"	"D6"	"D10"	"SRF"	"HighVol"	"D5"	3	1	2	6
"943"	"MIN"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"ERP"	"LowVol"	"D4"	2	3	3	1
"944"	"MINE"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"SRF"	"LowVol"	"D4"	2	3	3	1
"945"	"MINEX"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"High"	"Average"	"Average"	"D10"	"D6"	"D6"	"SRF"	"LowVol"	"D9"	2	3	2	2
"946"	"MINT"	"Scrypt"	"PoS"	"P80"	"BC"	"P80"	"BC"	"High"	"Average"	"Average"	"D10"	"D7"	"D9"	"ERP"	"HighVol"	"D10"	2	1	1	23
"947"	"MKR"	"N/A"	"N/A"	"P90"	"BC"	"P100"	"BC"	"Average"	"High"	"Average"	"D5"	"D10"	"D6"	"SRF"	"Indexlike"	"D10"	2	1	2	7
"948"	"MLITE"	"SHA256D"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D7"	"D6"	"D10"	"SRF"	"HighVol"	"D5"	3	1	3	5
"949"	"MLN"	"N/A"	"N/A"	"P90"	"BC"	"P90"	"BC"	"Average"	"Average"	"Average"	"D7"	"D5"	"D5"	"SRF"	"HighVol"	"D10"	3	3	3	3
"950"	"MLS"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"CashLike"	"D4"	2	2	2	10
"951"	"MM"	"X11"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D6"	"D7"	"SRF"	"LowVol"	"D8"	2	3	3	1
"952"	"MMC"	"Multiple"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"SRF"	"LowVol"	"D10"	2	3	3	1
"953"	"MMNXT"	"N/A"	"N/A"	"P70"	"BC"	"P80"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"SRF"	"LowVol"	"D10"	2	3	3	1
"954"	"MMXIV"	"SHA256"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"ERP"	"CashLike"	"D4"	2	2	3	9
"955"	"MMXVI"	"N/A"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D4"	"D10"	"D5"	"ERP"	"LowVol"	"D4"	2	3	2	2
"956"	"MN"	"SHA256"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D9"	"D4"	"ERP"	"LowVol"	NA	2	3	2	2
"957"	"MNC"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D7"	"D10"	"D10"	"SRF"	"NegBeta"	"D9"	2	1	3	8
"958"	"MND"	"X11"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D4"	"D10"	"D6"	"SRF"	"NegBeta"	"D4"	2	1	3	8
"959"	"MNE"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D5"	"D4"	"D9"	"SRF"	"HighVol"	"D9"	3	3	3	3
"960"	"MNM"	"X13"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D5"	"D4"	"D10"	"SRF"	"LowVol"	"D4"	3	1	3	5
"961"	"MNTP"	"N/A"	"N/A"	"P90"	"BC"	"P99"	"BC"	"Average"	"Average"	"High"	"D7"	"D6"	"D10"	"ERP"	"HighVol"	"D9"	3	4	2	12
"962"	"MNX"	"Mars"	"N/A"	"P90"	"BC"	"P90"	"BC"	"Average"	"Low"	"Average"	"D6"	"D4"	"D5"	"ERP"	"LowVol"	"D9"	3	3	3	3
"963"	"MNY"	"N/A"	"N/A"	"P70"	"BC"	"P90"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"ERP"	"CashLike"	"D4"	2	2	3	9
"964"	"MOAC"	"N/A"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D7"	"D8"	"D5"	"SRF"	"LowVol"	"D6"	2	3	3	1
"965"	"MOD"	"N/A"	"N/A"	"P99"	"BC"	"P90"	"BC"	"High"	"Average"	"Average"	"D10"	"D4"	"D5"	"ERP"	"HighVol"	"D9"	3	3	3	3
"966"	"MOIN"	"N/A"	"PoW/PoS"	"P80"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D7"	"D4"	"D6"	"ERP"	"Indexlike"	"D10"	3	3	2	4
"967"	"MOJO"	"PoS"	"PoS"	"P80"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D5"	"D8"	"ERP"	"LowVol"	"D10"	3	3	3	3
"968"	"MOL"	"N/A"	"N/A"	"P70"	"BC"	"P90"	"BC"	"Low"	"Average"	"Low"	"D4"	"D7"	"D4"	"ERP"	"Indexlike"	"D4"	2	3	2	2
"969"	"MONA"	"Scrypt"	"PoW"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D5"	"D4"	"ERP"	"Indexlike"	"D10"	3	3	2	4
"970"	"MONETA"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D7"	"D7"	"ERP"	"LowVol"	"D9"	2	3	3	1
"971"	"MONEY"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D8"	"D4"	"D10"	"SRF"	"NegBeta"	"D6"	3	1	2	6
"972"	"MONK"	"X11"	"PoS"	"P90"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D7"	"D4"	"D6"	"SRF"	"LowVol"	"D9"	3	3	3	3
"973"	"MOON"	"Scrypt"	"PoW"	"P70"	"BC"	"P80"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"CashLike"	"D5"	2	2	2	10
"974"	"MOOND"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D6"	"D7"	"D10"	"SRF"	"LowVol"	"D4"	3	1	3	5
"975"	"MOTO"	"N/A"	"PoP"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D5"	"D10"	"D9"	"SRF"	"NegBeta"	"D6"	2	1	3	8
"976"	"MPRO"	"PoS"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D8"	"D10"	"D8"	"ERP"	"LowVol"	"D9"	2	3	2	2
"977"	"MRP"	"X11"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D7"	"D5"	"D8"	"ERP"	"LowVol"	"D10"	3	3	2	4
"978"	"MRS"	"X11"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"ERP"	"LowVol"	"D10"	2	3	3	1
"979"	"MRSA"	"X13"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D4"	2	3	2	2
"980"	"MRT"	"N/A"	"N/A"	"P70"	"BC"	"P80"	"BC"	"Low"	"High"	"High"	"D4"	"D9"	"D10"	"ERP"	"HighVol"	"D4"	3	2	2	14
"981"	"MRV"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D5"	"D10"	"D6"	"ERP"	"HighVol"	"D6"	2	3	3	1
"982"	"MRY"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"ERP"	"LowVol"	"D4"	2	3	2	2
"983"	"MSC"	"Scrypt"	"PoW"	"P70"	"BC"	"P99"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"ERP"	"LowVol"	"D8"	2	3	2	2
"984"	"MSD"	"N/A"	"N/A"	"P80"	"BC"	"P99"	"BC"	"Average"	"High"	"Average"	"D9"	"D10"	"D7"	"ERP"	"LowVol"	"D9"	2	3	3	1
"985"	"MSP"	"N/A"	"N/A"	"P90"	"BC"	"P80"	"BC"	"High"	"Average"	"Average"	"D9"	"D6"	"D5"	"ERP"	"HighVol"	"D10"	2	3	3	1
"986"	"MST"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"High"	"D4"	"D5"	"D10"	"SRF"	"NegBeta"	"D4"	3	1	2	6
"987"	"MTC"	"N/A"	"N/A"	"P80"	"BC"	"P90"	"BC"	"High"	"High"	"High"	"D10"	"D10"	"D10"	"ERP"	"NegBeta"	"D7"	2	4	2	15
"988"	"MTH"	"N/A"	"N/A"	"P99"	"BC"	"P90"	"BC"	"High"	"Average"	"Average"	"D10"	"D5"	"D5"	"ERP"	"HighVol"	"D10"	3	3	3	3
"989"	"MTL"	"N/A"	"PoPP"	"P99"	"BC"	"P99"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D4"	"ERP"	"HighVol"	"D10"	3	3	3	3
"990"	"MTR"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"SRF"	"LowVol"	"D10"	2	3	2	2
"991"	"MUDRA"	"X13"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"CashLike"	"D4"	2	2	3	9
"992"	"MUE"	"Quark"	"PoW"	"P99"	"BC"	"P90"	"BC"	"High"	"Average"	"Average"	"D10"	"D4"	"D4"	"SRF"	"HighVol"	"D10"	3	3	3	3
"993"	"MUSIC"	"Ethash"	"PoW"	"P90"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D4"	"SRF"	"HighVol"	"D10"	3	3	2	4
"994"	"MUU"	"SHA256"	"PoW/PoS "	"P70"	"BC"	"P70"	"BC"	"High"	"Average"	"High"	"D10"	"D6"	"D10"	"SRF"	"LowVol"	"D7"	3	1	2	6
