""	"SYM"	"Algorithm"	"ProofType"	"PercVolume"	"ClassVolume"	"PercMKCaP"	"ClassMKCaP"	"ClassVolumeUSD"	"ClassRet"	"ClassRisk"	"DecVolumeUSD"	"DecRet"	"DecRisk"	"ClassSharpeR"	"ClassBeta"	"DecAge"	"Kmeans"	"HistDAWass"	"TADPole"	"Combi"
"29"	"ADA"	"Ouroboros"	"PoS"	"P99"	"BC"	"P100"	"BC"	"High"	"Average"	"Low"	"D10"	"D5"	"D4"	"ERP"	"HighVol"	"D8"	3	3	2	4
"30"	"ADC"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P80"	"BC"	"Average"	"Average"	"High"	"D6"	"D4"	"D9"	"ERP"	"LowVol"	"D6"	3	1	3	5
"31"	"ADCN"	"Scrypt"	"PoW"	"P80"	"BC"	"P70"	"BC"	"High"	"Low"	"High"	"D10"	"D4"	"D10"	"ERP"	"NegBeta"	"D10"	1	4	2	22
"32"	"ADL"	"N/A"	"N/A"	"P70"	"BC"	"P80"	"BC"	"Average"	"Low"	"Average"	"D5"	"D4"	"D9"	"ERP"	"LowVol"	"D5"	3	1	3	5
"33"	"ADN"	"ScryptOG"	"PoW"	"P70"	"BC"	"P80"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D10"	2	3	2	2
"34"	"ADST"	"N/A"	"N/A"	"P90"	"BC"	"P80"	"BC"	"Average"	"Average"	"Average"	"D8"	"D6"	"D6"	"ERP"	"Indexlike"	"D10"	2	3	2	2
"35"	"ADT"	"N/A"	"N/A"	"P99"	"BC"	"P90"	"BC"	"High"	"Average"	"Average"	"D10"	"D5"	"D6"	"ERP"	"HighVol"	"D10"	3	3	3	3
"36"	"ADX"	"N/A"	"N/A"	"P99"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D5"	"ERP"	"HighVol"	"D10"	3	3	2	4
"37"	"ADZ"	"X11"	"PoW"	"P80"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D9"	"D5"	"D6"	"ERP"	"LowVol"	"D10"	3	3	2	4
"38"	"AE"	"N/A"	"PoW/PoS"	"P99"	"BC"	"P90"	"BC"	"High"	"High"	"Average"	"D10"	"D9"	"D4"	"ERP"	"HighVol"	"D10"	2	3	2	2
"39"	"AEC"	"X11"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D6"	"D10"	"D9"	"SRF"	"NegBeta"	"D6"	2	1	3	8
"40"	"AEON"	"CryptoNight-Lite"	"PoW"	"P90"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D8"	"D4"	"D4"	"SRF"	"HighVol"	"D10"	3	3	2	4
"41"	"AERO"	"X13"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D9"	"D4"	"ERP"	"LowVol"	NA	2	3	3	1
"42"	"AGRS"	"N/A"	"N/A"	"P70"	"BC"	"P99"	"BC"	"Average"	"Average"	"Low"	"D9"	"D7"	"D4"	"ERP"	"LowVol"	"D10"	2	3	2	2
"43"	"AGS"	"X13"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"SRF"	"LowVol"	NA	2	3	3	1
"44"	"AHT"	"Ethash"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D6"	"D6"	"D10"	"ERP"	"Indexlike"	"D8"	3	1	2	6
"45"	"AIB"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D8"	"D9"	"D10"	"ERP"	"CashLike"	"D10"	2	1	2	7
"46"	"AIR"	"N/A"	"N/A"	"P90"	"BC"	"P80"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D5"	"ERP"	"LowVol"	"D10"	3	3	1	20
"47"	"ALC"	"X13"	"PoW"	"P70"	"BC"	"P70"	"BC"	"High"	"Average"	"Average"	"D10"	"D8"	"D8"	"ERP"	"LowVol"	"D8"	2	3	2	2
"48"	"ALEX"	"SHA-256"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"LowVol"	"D4"	2	3	3	1
"49"	"ALF"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"SRF"	"LowVol"	NA	2	3	2	2
"50"	"ALIS"	"N/A"	"N/A"	"P70"	"BC"	"P90"	"BC"	"Average"	"High"	"High"	"D4"	"D9"	"D10"	"SRF"	"NegBeta"	"D5"	2	1	3	8
"51"	"ALN"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"SRF"	"LowVol"	NA	2	3	2	2
"52"	"ALT"	"SHA256"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Low"	"Low"	"High"	"D4"	"D4"	"D10"	"SRF"	"HighVol"	"D6"	3	2	2	14
"53"	"ALTCOM"	"SkunkHash"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D6"	"D4"	"D8"	"SRF"	"LowVol"	"D9"	3	3	3	3
"54"	"ALTOCAR"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D5"	"D4"	"D5"	"SRF"	"LowVol"	"D4"	3	3	2	4
"55"	"AM"	"X13"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Average"	"D4"	"D7"	"D4"	"SRF"	"CashLike"	"D4"	2	3	3	1
"56"	"AMB"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D6"	"D5"	"SRF"	"HighVol"	"D10"	2	3	3	1
"57"	"AMBER"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D5"	"D4"	"D10"	"ERP"	"LowVol"	"D6"	3	2	2	14
"58"	"AMC"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D4"	2	3	2	2
