""	"SYM"	"rmedio"	"volatility"	"Kmeans"	"HistDAWass"	"TADPole"	"Combi"
"110"	"AV"	-0.00104209940716012	0.12586603576281	2	3	3	1
"111"	"AVT"	-0.00845144147575573	0.0927805733664512	3	3	3	3
"112"	"AXIOM"	9.50223045778858e-06	0.000181788372632274	2	3	2	2
"113"	"AXR"	-0.00329802159716817	0.0441198100975381	2	3	3	1
"114"	"B2B"	-0.00537969998228195	0.369581857926872	3	1	2	6
"115"	"B2X"	-0.0103529052729613	2.22426650405039	1	5	2	17
"116"	"B3"	-0.00530471241209495	0.217841024390434	3	1	3	5
"117"	"BAC"	-0.0148956327918911	0.306218268819037	3	1	2	6
"118"	"BAN"	-0.00251189821164366	0.169074168859443	2	3	2	2
"119"	"BAR"	0.00899901639075828	0.446865893353195	2	4	2	15
"120"	"BAS"	-0.0122941829104204	0.190677821795997	3	3	3	3
"121"	"BASH"	-0.00555894786978068	0.285789770940382	3	1	2	6
"122"	"BAT"	-0.00271427622474191	0.0806441548423754	2	3	3	1
"123"	"BAY"	-0.00824015383983123	0.0863454773359125	3	3	2	4
"124"	"BBCC"	-0.00847836055618248	0.274945727747703	3	1	3	5
"125"	"BBP"	-0.00530373113982385	0.170151904484647	2	3	3	1
"126"	"BBR"	-0.00025078045510043	0.0669504003903931	2	3	3	1
"127"	"BBT"	-0.0104353514964522	0.272691311430129	3	1	3	5
"128"	"BC"	-0.00329776045188495	0.0441331369363019	2	3	2	2
"129"	"BCAP"	-0.00329383630178297	0.044250787269416	2	3	2	2
"130"	"BCCOIN"	-0.016307664625579	0.188664717688949	3	1	2	6
"131"	"BCD"	-0.0103355816189112	0.493328944674114	3	1	2	6
"132"	"BCDN"	-0.0146606438796012	0.120520978708877	3	3	3	3
"133"	"BCH"	-0.00736404632474621	0.0750137698863917	3	3	3	3
"134"	"BCN"	-0.00533254619085117	0.097789169751591	2	3	3	1
"135"	"BCOIN"	-0.00329733845166214	0.0443817113022482	2	3	2	2
"136"	"BCPT"	-0.00674314061743864	0.101194482134477	3	3	3	3
"137"	"BCR"	-0.00329866586227172	0.0441286698105513	2	3	3	1
"138"	"BCX"	-0.00357405269841873	0.140939725003532	2	3	3	1
"139"	"BCY"	-0.0114003753187089	0.187986161330107	3	3	2	4
"140"	"BDL"	-0.00211068608282072	0.0422476837504459	2	3	2	2
"141"	"BDT"	0.00116591016635867	0.229835953099374	2	3	3	1
"142"	"BELA"	-0.00770314771478056	0.0736983083821421	3	3	3	3
"143"	"BENJI"	-0.00953270311175546	0.485753410125925	3	2	3	11
"144"	"BERN"	-0.00804770962900034	0.329550665417055	3	1	3	5
"145"	"BEST"	-0.00710368246764085	0.33860562726881	3	1	3	5
"146"	"BET"	-0.00329855476510329	0.044135692579256	2	3	3	1
"147"	"BET*"	-0.00571948817493545	0.122225994677311	2	3	3	1
"148"	"BFX"	0	0	2	2	3	9
"149"	"BHC"	-0.00329874950100493	0.0441400176517651	2	3	2	2
"150"	"BHC*"	-0.00451371136603612	0.393221441152604	3	2	3	11
"151"	"BIC"	-0.00329763272210101	0.0441306032674576	2	3	3	1
"152"	"BIGUP"	-0.00981167410435782	0.268649974745488	3	1	3	5
"153"	"BILL"	-0.0012190586570781	0.239490787334829	2	1	3	8
"154"	"BIO"	-0.0111581236676361	0.163638818877483	3	3	3	3
"155"	"BIOB"	-0.00989049272806275	0.287363825657991	3	1	3	5
"156"	"BIOS"	-0.00487001802642914	0.147460902864499	2	3	2	2
"157"	"BIPC"	-0.00807240146195583	0.104717270395184	3	3	3	3
"158"	"BIS"	-0.00688795912448749	0.0825144163285306	3	3	3	3
"159"	"BIT"	-0.0233714809814299	0.325069426402828	3	1	3	5
"160"	"BIT16"	-0.00399650586935949	0.0762745274400254	2	3	3	1
"161"	"BITB"	-0.0064579294221092	0.0936442310084996	3	3	2	4
