Attaccante;Bersaglio;Tecnica;Continente;Severity
Cybercrime;GDO / Retail;DDoS;AS;3
Cybercrime;Gov - Mil - LE - Intelligence;Malware;AM;2
Cybercrime;Research - Education;Unknown;AM;3
Cybercrime;Others;Vulnerabilities;AM;3
Information warfare;Multiple targets;Malware;AS;1
Cybercrime;Gov - Mil - LE - Intelligence;Unknown;AM;2
Cybercrime;Research - Education;Unknown;AM;3
Cybercrime;Critical Infrastructures;Malware;EU;2
Cybercrime;Others;Unknown;AM;3
Cybercrime;Multiple targets;Malware;AM;3
Hacktivism;Gov - Mil - LE - Intelligence;Unknown;AM;1
Cybercrime;Research - Education;Phishing / Social Engineering;AM;3
Cybercrime;Banking / Finance;Unknown;AM;3
Cybercrime;Banking / Finance;Unknown;AS;3
Hacktivism;Gov - Mil - LE - Intelligence;Malware;AS;1
Cybercrime;Multiple targets;Malware;EU;3
Cybercrime;SW / HW Vendor;Malware;AM;2
Hacktivism;Entertainment / News;Vulnerabilities;AM;3
Cybercrime;Gov - Mil - LE - Intelligence;Unknown;AM;2
Cybercrime;Critical Infrastructures;Vulnerabilities;AM;1
Cybercrime;Health;Unknown;EU;3
Cybercrime;Health;Unknown;EU;3
Cybercrime;Critical Infrastructures;Vulnerabilities;AM;3
Hacktivism;Online Services / Cloud;DDoS;EU;3
Cybercrime;Research - Education;Unknown;OC;3
Cybercrime;Gov - Mil - LE - Intelligence;Vulnerabilities;AM;2
Cybercrime;Critical Infrastructures;Malware;AM;2
Cybercrime;Telco;Unknown;EU;3
Hacktivism;Multiple targets;Account Cracking;AM;3
Cybercrime;Online Services / Cloud;Unknown;AM;3
Hacktivism;Entertainment / News;Account Cracking;AM;2
Cybercrime;Online Services / Cloud;Unknown;AM;3
Cybercrime;Others;Unknown;AM;3
Hacktivism;Entertainment / News;Vulnerabilities;AM;3
Cybercrime;Banking / Finance;Malware;AM;2
Hacktivism;Hospitability;Account Cracking;AM;3
Cybercrime;Hospitability;Unknown;EU;3
Cybercrime;Hospitability;Vulnerabilities;AM;2
Cybercrime;Gov - Mil - LE - Intelligence;Unknown;AF;2
Cybercrime;Security;Phishing / Social Engineering;AM;3
Cybercrime;Gov - Mil - LE - Intelligence;Malware;AM;2
Cybercrime;Research - Education;Malware;AM;3
Cybercrime;Entertainment / News;Unknown;AM;3
Cybercrime;Banking / Finance;Multiple Threats / APT;EU;2
Cybercrime;Banking / Finance;Malware;AS;2
Cybercrime;Organization - ONG;Unknown;EU;3
Cybercrime;Online Services / Cloud;Malware;AM;3
Cybercrime;Multiple targets;Account Cracking;AM;2
Cybercrime;SW / HW Vendor;Phishing / Social Engineering;AM;3
Cybercrime;Entertainment / News;Malware;EU;3
Espionage / Sabotage;Multiple targets;Malware;AM;1
Cybercrime;Multiple targets;Malware;AS;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Unknown;AM;1
Hacktivism;Entertainment / News;Account Cracking;AM;2
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Phishing / Social Engineering;AS;1
Cybercrime;Multiple targets;Malware;AM;3
Cybercrime;Entertainment / News;Unknown;AM;3
Cybercrime;Research - Education;Phishing / Social Engineering;AM;3
Cybercrime;Gov - Mil - LE - Intelligence;Unknown;AM;2
Cybercrime;Online Services / Cloud;Unknown;AM;3
Cybercrime;Hospitability;Vulnerabilities;AM;2
Cybercrime;Online Services / Cloud;Vulnerabilities;AM;2
Cybercrime;Multiple targets;Malware;AM;3
Cybercrime;Gov - Mil - LE - Intelligence;Malware;EU;1
Cybercrime;Online Services / Cloud;Phishing / Social Engineering;AM;3
Cybercrime;Research - Education;DDoS;AM;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Malware;EU;1
Cybercrime;Entertainment / News;Vulnerabilities;AM;3
Cybercrime;Research - Education;Malware;AM;3
Cybercrime;Others;Malware;AS;2
Cybercrime;Entertainment / News;Malware;AM;3
Cybercrime;Hospitability;Unknown;AM;3
Cybercrime;Online Services / Cloud;Multiple Threats / APT;AM;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Unknown;AM;1
Cybercrime;Health;Malware;AM;2
Cybercrime;Research - Education;Unknown;AM;3
Hacktivism;Entertainment / News;Account Cracking;AM;2
Cybercrime;Critical Infrastructures;Phishing / Social Engineering;AM;3
Cybercrime;Entertainment / News;Unknown;EU;3
Cybercrime;SW / HW Vendor;Malware;AS;3
Cybercrime;Banking / Finance;Malware;EU;2
Information warfare;Gov - Mil - LE - Intelligence;Multiple Threats / APT;EU;1
Cybercrime;Banking / Finance;Vulnerabilities;AM;3
Cybercrime;Health;Malware;AM;2
Information warfare;Gov - Mil - LE - Intelligence;Multiple Threats / APT;AS;1
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Malware;AM;1
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Malware;AS;1
Cybercrime;Gov - Mil - LE - Intelligence;Vulnerabilities;AM;2
Cybercrime;Research - Education;Unknown;AM;3
Cybercrime;Gov - Mil - LE - Intelligence;Unknown;AM;1
Cybercrime;Banking / Finance;Unknown;EU;3
Cybercrime;Gov - Mil - LE - Intelligence;Vulnerabilities;AM;1
Cybercrime;GDO / Retail;Multiple Threats / APT;AM;2
Espionage / Sabotage;Banking / Finance;Multiple Threats / APT;AS;1
Cybercrime;Research - Education;Unknown;AM;3
Espionage / Sabotage;Multiple targets;0-day;EU;1
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Phishing / Social Engineering;EU;1
Cybercrime;Hospitability;Account Cracking;AM;3
Cybercrime;Online Services / Cloud;DDoS;OC;2
Cybercrime;Hospitability;Malware;AM;2
