,TYPE,MARKET,FROMSYMBOL,TOSYMBOL,FLAGS,PRICE,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LASTTRADEID,VOLUMEDAY,VOLUMEDAYTO,VOLUME24HOUR,VOLUME24HOURTO,OPENDAY,HIGHDAY,LOWDAY,OPEN24HOUR,HIGH24HOUR,LOW24HOUR,LASTMARKET,VOLUMEHOUR,VOLUMEHOURTO,OPENHOUR,HIGHHOUR,LOWHOUR,CHANGE24HOUR,CHANGEPCT24HOUR,CHANGEDAY,CHANGEPCTDAY,SUPPLY,MKTCAP,TOTALVOLUME24H,TOTALVOLUME24HTO
KIN,5,CCCAGG,KIN,USD,4,3.77325e-05,1546196664,0.0,0.0,0,0.0,0.0,4249106.1652126005,122.81220955890721,3.77325e-05,3.77325e-05,3.77325e-05,3.77325e-05,3.913e-05,3.77325e-05,HitBTC,0.0,0.0,3.77325e-05,3.77325e-05,3.77325e-05,0.0,0.0,0.0,0.0,10000000000000.0,377325000.0,509388148.0,19182.971105590022
ONT,5,CCCAGG,ONT,USD,4,0.624574236,1546196662,0.0,0.0,0,0.0,0.0,0.0,0.0,0.617600082,0.629998578,0.6098510220000001,0.6187624410000001,0.6361978260000001,0.609463569,OKEX,0.0,0.0,0.624574236,0.625349142,0.6237993300000001,0.005811794999999842,0.9392611145898302,0.006974153999999899,1.129234629861966,597000000.0,372870818.89199996,18430784.072868176,11511392.881192608
ZEC,5,CCCAGG,ZEC,USD,4,60.69,1546196619,3.0,182.832,328981077,15490.684271560027,942872.0823108096,23517.84958787,1457721.185053567,60.78,62.22,59.54,61.5,64.6,60.26,Bitfinex,11.880232,723.37157415917,61.06,61.06,60.69,-0.8100000000000023,-1.3170731707317112,-0.09000000000000341,-0.1480750246791764,5564268.75,337695470.4375,1463874.5912358817,88872971.8356714
ZRX,5,CCCAGG,ZRX,USD,4,0.3206,1546196669,127.42489,40.565204031940006,851978,1187221.7000058885,380358.3155118655,2538941.6988959797,830695.0304569073,0.3202,0.3264,0.316,0.3236,0.343,0.3173,Coinbase,6126.71337,1986.9074592132602,0.3205,0.3206,0.3205,-0.0030000000000000027,-0.9270704573547598,0.00040000000000001146,0.12492192379763008,1000000000.0,320600000.0,17627452.973070893,5668071.744957385
WAVES,5,CCCAGG,WAVES,USD,4,3.1088988,1546196671,0.0,0.0,0,0.0,0.0,1906.8269843100002,5559.8500015269,3.08526435,3.17437785,3.04496955,3.13563285,3.1972374,3.0314088,Binance,0.0,0.0,3.1065741,3.1119984,3.1042494,-0.026734049999999954,-0.852588656863955,0.023634449999999863,0.7660429486374437,100000000.0,310889880.0,4112741.209388525,12785727.928456733
LINK,5,CCCAGG,LINK,USD,4,0.30259845,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.303024645,0.3138345,0.29973132,0.305891775,0.313950735,0.29965383,HuobiPro,0.0,0.0,0.303102135,0.303102135,0.302172255,-0.003293324999999958,-1.0766307789740206,-0.0004261949999999626,-0.14064697609000174,1000000000.0,302598450.0,5703433.537583847,1725850.1481508887
BEC,5,CCCAGG,BEC,USD,4,0.041425254,1546196650,0.0,0.0,0,0.0,0.0,0.0,0.0,0.044036148,0.048867,0.041369406,0.044036148,0.048867,0.041369406,OKEX,0.0,0.0,0.041425254,0.041425254,0.041425254,-0.0026108939999999956,-5.928979074191494,-0.0026108939999999956,-5.928979074191494,7000000000.0,289976778.0,410746.0110000022,17015.257835161887
DOGE,5,CCCAGG,DOGE,USD,4,0.002366,1546195979,1454.30188871,3.44087826868786,948889451,6162116.640303382,14798.333573827314,7171868.599751261,17231.57290724111,0.00239,0.002432,0.002343,0.002394,0.002447,0.002343,LiveCoin,0.0,0.0,0.002366,0.002366,0.002366,-2.7999999999999813e-05,-1.1695906432748462,-2.400000000000015e-05,-1.0041841004184162,117626141742.313,278303451.36231256,2862022239.6576967,6771807.55083034
ZIL,5,CCCAGG,ZIL,USD,4,0.021116025,1546196671,0.0,0.0,0,0.0,0.0,256532.35288321998,5714.657923090422,0.021348495,0.02200716,0.02076732,0.021348495,0.02231712,0.020728575,HuobiPro,0.0,0.0,0.021116025,0.02115477,0.021116025,-0.0002324699999999985,-1.088929219600719,-0.0002324699999999985,-1.088929219600719,12599999804.24,266061910.86632693,440764552.5758493,9307493.02565175
NEC*,5,CCCAGG,NEC*,USD,4,0.25,1546117758,0.1,0.025001000000000002,NaN,4963.0,1356.4871600000001,120.3,30.632502,0.25,0.32287,0.25,0.2601,0.263,0.25,Ethfinex,0.0,0.0,0.25,0.25,0.25,-0.010099999999999998,-3.8831218762014603,0.0,0.0,1013955535.4876,253488883.8719,120.30000000011688,30.63250200002922
USDC,5,CCCAGG,USDC,USD,4,1.013930203874338,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,1.042832624431013,1.079484010505175,1.006191950464396,1.040658276863504,1.080987004950495,0.9511979308467193,Coinbase,0.0,0.0,1.013783097569822,1.013783097569822,1.013930203874338,-0.026728072989165907,-2.568381339331013,-0.028902420556675024,-2.7715301458318553,246919304.14,250358940.38717988,2678157.930817966,2715465.2168019353
BTG,5,CCCAGG,BTG,USD,4,13.99,1546196642,10.84,151.6516,328981092,18403.24441671999,260502.77934662142,28378.305524180007,407241.3673996098,14.12,14.39,13.78,14.34,14.97,13.88,Bitfinex,69.71822845,975.3580160155,14.0,14.0,13.99,-0.34999999999999964,-2.4407252440725222,-0.129999999999999,-0.9206798866855455,17202361.088994,240661031.63502607,109204.51783257998,1538000.0775941256
